MoonRise,Az,Phase,Paksha,days,Fullmoon,Newmoon,Eclipse
-01495-11-05,60.0562,54.839,Krishna,21971.0,0,0,0.0
-01495-11-06,63.9772,42.989,Krishna,21970.0,0,0,0.0
-01495-11-07,69.6609,31.715999999999998,Krishna,21969.0,0,0,0.0
-01495-11-08,76.6877,21.596,Krishna,21968.0,0,0,0.0
-01495-11-09,83.5622,13.14,Krishna,21967.0,0,0,0.0
-01495-11-10,90.8279,6.627999999999999,Krishna,21966.0,0,0,0.0
-01495-11-11,98.0571,2.285,Krishna,21965.0,0,0,0.0
-01495-11-13,104.8602,0.207,Krishna,21963.0,0,1,0.0
-01495-11-14,110.8918,0.369,Shukla,21962.0,0,1,0.0
-01495-11-15,115.8677,2.64,Shukla,21961.0,0,0,0.0
-01495-11-16,119.5908,6.811,Shukla,21960.0,0,0,0.0
-01495-11-17,121.9756,12.626,Shukla,21959.0,0,0,0.0
-01495-11-18,123.0589,19.813,Shukla,21958.0,0,0,0.0
-01495-11-19,121.9786,28.055,Shukla,21957.0,0,0,0.0
-01495-11-20,119.907,37.13,Shukla,21956.0,0,0,0.0
-01495-11-21,116.0134,46.73,Shukla,21955.0,0,0,0.0
-01495-11-22,110.4351,56.575,Shukla,21954.0,0,0,0.0
-01495-11-23,104.244,66.405,Shukla,21953.0,0,0,0.0
-01495-11-24,98.4562,75.899,Shukla,21952.0,0,0,0.0
-01495-11-25,91.2115,84.492,Shukla,21951.0,0,0,0.0
-01495-11-26,83.5779,91.70100000000001,Shukla,21950.0,0,0,0.0
-01495-11-27,75.7207,96.945,Shukla,21949.0,0,0,0.0
-01495-11-28,68.8413,99.69,Shukla,21948.0,1,0,0.0
-01495-11-29,63.328,99.48299999999999,Krishna,21947.0,0,0,0.0
-01495-11-30,59.7068,96.131,Krishna,21946.0,0,0,0.0
-01495-12-01,58.5792,89.78399999999999,Krishna,21945.0,0,0,0.0
-01495-12-02,59.4911,80.992,Krishna,21944.0,0,0,0.0
-01495-12-03,62.5966,70.48899999999999,Krishna,21943.0,0,0,0.0
-01495-12-04,68.6927,58.994,Krishna,21942.0,0,0,0.0
-01495-12-05,74.3459,47.455,Krishna,21941.0,0,0,0.0
-01495-12-06,82.0223,36.288000000000004,Krishna,21940.0,0,0,0.0
-01495-12-07,89.2077,26.13,Krishna,21939.0,0,0,0.0
-01495-12-08,96.4758,17.309,Krishna,21938.0,0,0,0.0
-01495-12-09,102.4142,10.163,Krishna,21937.0,0,0,0.0
-01495-12-10,108.732,4.819,Krishna,21936.0,0,0,0.0
-01495-12-12,114.1029,1.4569999999999999,Krishna,21934.0,0,0,0.0
-01495-12-13,118.2904,0.127,Krishna,21933.0,0,1,0.0
-01495-12-14,121.1557,0.802,Shukla,21932.0,0,0,0.0
-01495-12-15,122.6844,3.386,Shukla,21931.0,0,0,0.0
-01495-12-16,121.9942,7.707999999999999,Shukla,21930.0,0,0,0.0
-01495-12-17,120.26,13.604000000000001,Shukla,21929.0,0,0,0.0
-01495-12-18,116.6974,20.838,Shukla,21928.0,0,0,0.0
-01495-12-19,112.4508,29.229,Shukla,21927.0,0,0,0.0
-01495-12-20,106.6647,38.498000000000005,Shukla,21926.0,0,0,0.0
-01495-12-21,100.3866,48.431999999999995,Shukla,21925.0,0,0,0.0
-01495-12-22,93.6624,58.721000000000004,Shukla,21924.0,0,0,0.0
-01495-12-23,86.5397,68.97800000000001,Shukla,21923.0,0,0,0.0
-01495-12-24,80.0412,78.77199999999999,Shukla,21922.0,0,0,0.0
-01495-12-25,72.4248,87.375,Shukla,21921.0,0,0,0.0
-01495-12-26,66.7768,94.25200000000001,Shukla,21920.0,0,0,0.0
-01495-12-27,61.6514,98.595,Shukla,21919.0,0,0,0.0
-01495-12-28,58.5813,99.876,Shukla,21918.0,1,0,0.0
-01495-12-29,58.2317,97.815,Krishna,21917.0,0,0,0.0
-01495-12-30,61.0928,92.535,Krishna,21916.0,0,0,0.0
-01495-12-31,66.2395,84.596,Krishna,21915.0,0,0,0.0
-01496-01-01,109.5639,10.138,Krishna,22645.0,0,0,0.0
-01496-01-02,114.231,4.86,Krishna,22644.0,0,0,0.0
-01496-01-04,117.6289,1.413,Krishna,22642.0,0,0,0.0
-01496-01-05,120.5537,0.069,Krishna,22641.0,0,1,0.0
-01496-01-06,120.9196,1.042,Shukla,22640.0,0,0,0.0
-01496-01-07,118.8427,4.383,Shukla,22639.0,0,0,0.0
-01496-01-08,115.5423,10.045,Shukla,22638.0,0,0,0.0
-01496-01-09,111.2791,17.834,Shukla,22637.0,0,0,0.0
