UTC_Date,EclType,PenMag,UmbralMag,PenEclipseBegins,Alt1,PartialEclipseBegins,Alt2,TotalEclipseBegins,Alt3,MidEclipse,Alt4,TotalEclipseEnds,Alt5,PartialEclipseEnds,Alt6,PenEclipseEnds,Alt7
-01417-03-16,P,1.121,0.047,01:53,+62,03:54,+39,-,-,04:21,+33,-,-,04:47,+27,06:49,+01
-01416-02-03,N,0.822,-0.193,17:15,-09,-,-,-,-,19:15,+15,-,-,-,-,21:15,+40
-01415-01-23,T,2.167,1.196,05:49,+19,06:47,+07,07:55,-06,08:26,-12,08:57,-17,10:05,-28,11:03,-35
-01414-01-12,T,2.261,1.293,21:51,+53,22:47,+65,23:51,+79,00:27,+85,01:04,+83,02:08,+70,03:04,+58
-01413-06-27,N,0.904,-0.094,16:40,-31,-,-,-,-,18:44,-06,-,-,-,-,20:49,+17
-01413-11-23,N,0.746,-0.349,03:08,+48,-,-,-,-,05:13,+21,-,-,-,-,07:18,-04
-01412-05-17,P,1.444,0.504,23:43,+45,00:49,+45,-,-,02:01,+39,-,-,03:13,+28,04:19,+17
-01412-11-11,P,1.962,0.858,01:19,+69,02:38,+54,-,-,04:18,+32,-,-,05:58,+11,07:17,-06
-01411-05-07,T,2.801,1.847,16:24,-31,17:19,-19,18:16,-07,19:06,+03,19:56,+13,20:53,+24,21:47,+33
-01411-10-31,T,2.563,1.499,02:56,+47,04:02,+33,05:07,+19,05:54,+09,06:41,-01,07:46,-15,08:53,-28
-01410-04-27,P,1.445,0.442,05:56,+01,07:13,-16,-,-,08:25,-31,-,-,09:38,-47,10:55,-62
-01409-03-17,N,0.585,-0.492,21:51,+45,-,-,-,-,23:44,+64,-,-,-,-,01:37,+64
-01409-09-10,N,0.719,-0.244,17:44,-14,-,-,-,-,19:30,+09,-,-,-,-,21:16,+30
-01409-10-10,N,0.134,-0.836,04:28,+24,-,-,-,-,05:16,+14,-,-,-,-,06:05,+04
-01408-03-05,P,1.937,0.868,21:09,+38,22:24,+53,-,-,00:04,+70,-,-,01:43,+68,02:58,+54
-01407-02-23,T,2.432,1.411,02:24,+63,03:27,+49,04:32,+35,05:16,+26,06:00,+16,07:04,+02,08:07,-11
-01407-08-19,T,2.427,1.380,16:47,-30,17:54,-16,19:01,-02,19:44,+07,20:28,+15,21:35,+27,22:41,+37
-01406-02-12,P,1.120,0.146,15:17,-32,16:44,-17,-,-,17:26,-10,-,-,18:07,-01,19:35,+17
-01406-08-08,N,1.059,-0.022,19:44,+06,-,-,-,-,22:09,+30,-,-,-,-,00:34,+42
-01405-01-03,N,0.952,-0.024,21:41,+51,-,-,-,-,23:42,+77,-,-,-,-,01:42,+75
-01404-06-17,T,2.302,1.320,14:56,-53,15:56,-41,17:01,-27,17:40,-19,18:20,-11,19:25,+02,20:25,+13
-01404-12-12,T,2.286,1.202,15:24,-24,16:35,-12,17:50,+02,18:24,+09,18:58,+16,20:13,+32,21:24,+47
-01403-12-01,N,1.032,-0.075,15:43,-22,-,-,-,-,18:08,+06,-,-,-,-,20:32,+37
-01402-04-28,N,0.400,-0.566,17:37,-15,-,-,-,-,19:00,+03,-,-,-,-,20:24,+20
-01402-05-28,N,0.646,-0.301,00:37,+43,-,-,-,-,02:18,+34,-,-,-,-,04:00,+18
-01402-10-22,N,0.547,-0.498,00:37,+67,-,-,-,-,02:21,+54,-,-,-,-,04:04,+33
-01401-04-18,P,1.736,0.716,03:51,+30,05:03,+15,-,-,06:32,-04,-,-,08:02,-24,09:14,-39
-01400-09-30,T,2.555,1.589,01:59,+51,02:54,+42,03:51,+31,04:38,+21,05:24,+12,06:22,-01,07:17,-12:1
