DaysSince,Date,jd,Body,EclType,Mag
176,-1810-Oct-03,1060246.0,L,P,1.347
178,-1809-Mar-30,1060424.0,L,T,2.734
354,-1808-Mar-18,1060778.0,L,P,1.558
176,-1808-Sep-10,1060954.0,L,P,1.757
148,-1807-Feb-05,1061102.0,L,N,0.245
30,-1807-Mar-07,1061132.0,L,N,0.183
178,-1807-Aug-31,1061310.0,L,N,0.507
148,-1806-Jan-26,1061458.0,L,P,1.6159999999999999
176,-1806-Jul-22,1061634.0,L,P,1.672
354,-1805-Jul-11,1061988.0,L,T,2.719
178,-1804-Jan-05,1062166.0,L,P,1.5
176,-1804-Jun-29,1062342.0,L,P,1.344
178,-1804-Dec-24,1062520.0,L,N,0.251
148,-1803-May-20,1062668.0,L,N,0.813
30,-1803-Jun-19,1062698.0,L,N,0.024
148,-1803-Nov-14,1062846.0,L,P,1.621
176,-1802-May-10,1063022.0,L,T,2.248
178,-1802-Nov-03,1063200.0,L,T,2.8689999999999998
176,-1801-Apr-29,1063376.0,L,T,2.053
178,-1801-Oct-23,1063554.0,L,P,1.709
148,-1800-Mar-20,1063702.0,L,N,0.21899999999999997
28,-1800-Apr-18,1063730.0,L,N,0.644
176,-1800-Oct-11,1063906.0,L,N,0.496
326,-1799-Sep-01,1064232.0,L,P,1.476
354,-1798-Aug-22,1064586.0,L,T,2.748
356,-1797-Aug-12,1064942.0,L,P,1.5859999999999999
176,-1796-Feb-04,1065118.0,L,N,0.313
148,-1796-Jul-01,1065266.0,L,N,0.35100000000000003
178,-1796-Dec-26,1065444.0,L,P,1.7169999999999999
176,-1795-Jun-20,1065620.0,L,P,1.7309999999999999
178,-1795-Dec-15,1065798.0,L,T,2.7489999999999997
176,-1794-Jun-09,1065974.0,L,T,2.563
178,-1794-Dec-05,1066152.0,L,P,1.445
354,-1793-Nov-24,1066506.0,L,N,0.151
148,-1792-Apr-19,1066654.0,L,P,1.227
354,-1791-Apr-09,1067008.0,L,T,2.6039999999999996
176,-1791-Oct-02,1067184.0,L,T,2.654
178,-1790-Mar-29,1067362.0,L,P,1.685
326,-1789-Feb-17,1067688.0,L,N,0.166
28,-1789-Mar-18,1067716.0,L,N,0.3
178,-1789-Sep-12,1067894.0,L,N,0.5529999999999999
326,-1788-Aug-02,1068220.0,L,P,1.569
176,-1787-Jan-25,1068396.0,L,T,2.7939999999999996
178,-1787-Jul-22,1068574.0,L,T,2.847
354,-1786-Jul-11,1068928.0,L,P,1.48
148,-1786-Dec-06,1069076.0,L,N,0.419
30,-1785-Jan-05,1069106.0,L,N,0.265
146,-1785-May-31,1069252.0,L,N,0.6809999999999999
178,-1785-Nov-25,1069430.0,L,P,1.618
354,-1784-Nov-13,1069784.0,L,T,2.865
354,-1783-Nov-02,1070138.0,L,P,1.715
178,-1782-Apr-29,1070316.0,L,N,0.773
146,-1782-Sep-23,1070462.0,L,N,0.156
30,-1782-Oct-23,1070492.0,L,N,0.507
148,-1781-Mar-20,1070640.0,L,P,1.403
354,-1780-Mar-08,1070994.0,L,T,2.764
178,-1780-Sep-01,1071172.0,L,T,2.694
176,-1779-Feb-25,1071348.0,L,P,1.659
326,-1778-Jan-16,1071674.0,L,N,0.447
30,-1778-Feb-15,1071704.0,L,N,0.382
148,-1778-Jul-13,1071852.0,L,N,0.218
28,-1778-Aug-11,1071880.0,L,N,0.26
326,-1777-Jul-02,1072206.0,L,P,1.591
178,-1777-Dec-27,1072384.0,L,T,2.761
530,-1775-Jun-09,1072914.0,L,P,1.3119999999999998
148,-1775-Nov-04,1073062.0,L,N,0.044000000000000004
354,-1774-Oct-24,1073416.0,L,P,1.327
178,-1773-Apr-20,1073594.0,L,T,2.468
176,-1773-Oct-14,1073770.0,L,T,2.639
178,-1772-Apr-09,1073948.0,L,P,1.8230000000000002
176,-1772-Oct-02,1074124.0,L,P,1.819
178,-1771-Mar-29,1074302.0,L,N,0.433
148,-1771-Aug-23,1074450.0,L,N,0.22899999999999998
176,-1770-Feb-16,1074626.0,L,P,1.483
356,-1769-Feb-06,1074982.0,L,T,2.846
354,-1768-Jan-26,1075336.0,L,P,1.569
326,-1768-Dec-17,1075662.0,L,N,0.408
204,-1767-Jul-10,1075866.0,L,N,0.29
150,-1767-Dec-06,1076016.0,L,P,1.6130000000000002
176,-1766-May-31,1076192.0,L,T,1.974
178,-1766-Nov-25,1076370.0,L,T,2.861
176,-1765-May-21,1076546.0,L,T,2.326
178,-1765-Nov-14,1076724.0,L,P,1.7180000000000002
178,-1764-May-10,1076902.0,L,N,0.905
146,-1764-Oct-04,1077048.0,L,N,0.14400000000000002
178,-1763-Mar-30,1077226.0,L,P,1.2670000000000001
176,-1763-Sep-23,1077402.0,L,P,1.406
