Group	Work	WorkUrl
Vaisnava	sa_rUpagosvAmin-haribhaktirasAmRtasindhu	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_rUpagosvAmin-haribhaktirasAmRtasindhu.txt
Vaisnava	sa_rUpagosvAmin-laghubhAgavatAmRta	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_rUpagosvAmin-laghubhAgavatAmRta.txt
Vaisnava	sa_srinivasamakhi-vedantadesika-dazavidhAhetunirUpaNa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_srinivasamakhi-vedantadesika-dazavidhAhetunirUpaNa.txt
Vaisnava	sa_sAtvatatantra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_sAtvatatantra.txt
Vaisnava	sa_vaikhAnasamantraprazna5-8	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_vaikhAnasamantraprazna5-8.txt
Vaisnava	sa_viSNudharma	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_viSNudharma.txt
Vaisnava	sa_viSvaksenasaMhitA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_viSvaksenasaMhitA.txt
Vaisnava	sa_yAmuna-catuHzlokI	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_yAmuna-catuHzlokI.txt
Vaisnava	sa_yAmuna-stotraratna	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_yAmuna-stotraratna.txt
Saiva (see also Philosophy / Saiva)	sa_bhaTTanArAyaNa-stavacintAmaNi	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_bhaTTanArAyaNa-stavacintAmaNi.txt
Saiva (see also Philosophy / Saiva)	sa_bIjanighaNTu	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_bIjanighaNTu.txt
Saiva (see also Philosophy / Saiva)	sa_cakrapANinAtha-bhAvopahArastotra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_cakrapANinAtha-bhAvopahArastotra.txt
Saiva (see also Philosophy / Saiva)	sa_devIkAlottarAgama	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_devIkAlottarAgama.txt
Saiva (see also Philosophy / Saiva)	sa_gorakSanAtha-AmaraughazAsana-comm	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_gorakSanAtha-AmaraughazAsana-comm.txt
Saiva (see also Philosophy / Saiva)	sa_gorakSanAtha-gorakSazataka	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_gorakSanAtha-gorakSazataka.txt
Saiva (see also Philosophy / Saiva)	sa_gorakSazataka-alt	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_gorakSazataka-alt.txt
Saiva (see also Philosophy / Saiva)	sa_jJAnazambhu-zivapUjAstava	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_jJAnazambhu-zivapUjAstava.txt
Saiva (see also Philosophy / Saiva)	sa_karatoyAmAhAtmya	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_karatoyAmAhAtmya.txt
Saiva (see also Philosophy / Saiva)	sa_kalhaNa-ardhanarIzvarastotra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kalhaNa-ardhanarIzvarastotra.txt
Saiva (see also Philosophy / Saiva)	sa_kiraNatantra1-6	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kiraNatantra1-6.txt
Saiva (see also Philosophy / Saiva)	sa_kubjikamatatantra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kubjikamatatantra.txt
Saiva (see also Philosophy / Saiva)	sa_mAlinIvijayottaratantra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_mAlinIvijayottaratantra.txt
Saiva (see also Philosophy / Saiva)	sa_mAtRkAbhedatantra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_mAtRkAbhedatantra.txt
Saiva (see also Philosophy / Saiva)	sa_mRgendrAgama	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_mRgendrAgama.txt
Saiva (see also Philosophy / Saiva)	sa_mRgendrAgama1	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_mRgendrAgama1.txt
Saiva (see also Philosophy / Saiva)	sa_parazurAmakalpasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_parazurAmakalpasUtra.txt
Saiva (see also Philosophy / Saiva)	sa_pAzupatasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_pAzupatasUtra.txt
Saiva (see also Philosophy / Saiva)	sa_pAzupatasUtra-comm	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_pAzupatasUtra-comm.txt
Saiva (see also Philosophy / Saiva)	sa_puruSottamadeva-ekAkSarakoza	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_puruSottamadeva-ekAkSarakoza.txt
Saiva (see also Philosophy / Saiva)	sa_zaMkara-saundaryalaharI	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zaMkara-saundaryalaharI.txt
Saiva (see also Philosophy / Saiva)	sa_sArdhatrizatikAlottarAgama	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_sArdhatrizatikAlottarAgama.txt
Saiva (see also Philosophy / Saiva)	sa_zivamahimnastava	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zivamahimnastava.txt
Saiva (see also Philosophy / Saiva)	sa_zivasUtra-with-vArttika	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zivasUtra-with-vArttika.txt
Saiva (see also Philosophy / Saiva)	sa_zivopaniSad	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zivopaniSad.txt
Saiva (see also Philosophy / Saiva)	sa_somAnanda-zAktavijJAna	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_somAnanda-zAktavijJAna.txt
Saiva (see also Philosophy / Saiva)	sa_zrIkaNTha-ratnatrayaparIkSA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zrIkaNTha-ratnatrayaparIkSA.txt
Saiva (see also Philosophy / Saiva)	sa_svacchandatantra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_svacchandatantra.txt
Saiva (see also Philosophy / Saiva)	sa_toDalatantra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_toDalatantra.txt
Saiva (see also Philosophy / Saiva)	sa_uDDAmarezvaratantra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_uDDAmarezvaratantra.txt
Saiva (see also Philosophy / Saiva)	sa_utpaladeva-zivastotrAvali	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_utpaladeva-zivastotrAvali.txt
Saiva (see also Philosophy / Saiva)	sa_vINAzikhatantra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_vINAzikhatantra.txt
Buddhist	sa_abhayAkaragupta-niSpaNNayogAvali	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_abhayAkaragupta-niSpaNNayogAvali.txt
Buddhist	sa_abhisamAcArikadharma	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_abhisamAcArikadharma.txt
Buddhist	sa_adbhutadharmaparyAya	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_adbhutadharmaparyAya.txt
Buddhist	sa_adhikaraNavastu	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_adhikaraNavastu.txt
Buddhist	sa_adhyardhazatikA-prajJApAramitA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_adhyardhazatikA-prajJApAramitA.txt
Buddhist	sa_advayazatikA-prajJApAramitA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_advayazatikA-prajJApAramitA.txt
Buddhist	sa_ahorAtravratacaityasevAnuzaMsAvadAna	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_ahorAtravratacaityasevAnuzaMsAvadAna.txt
Buddhist	sa_ahoratravratakathA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_ahoratravratakathA.txt
Buddhist	sa_ahoratravratakathA-prose	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_ahoratravratakathA-prose.txt
Buddhist	sa_ajitasenavyAkaraNa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_ajitasenavyAkaraNa.txt
Buddhist	sa_ajitasenavyAkaraNa-alt	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_ajitasenavyAkaraNa-alt.txt
Buddhist	sa_amoghapAzahRdayasUtra-mz	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_amoghapAzahRdayasUtra-mz.txt
Buddhist	sa_amoghapAzahRdayasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_amoghapAzahRdayasUtra.txt
Buddhist	sa_amoghapAzahRdayasUtra-alt	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_amoghapAzahRdayasUtra-alt.txt
Buddhist	sa_amRtAkara-catuHstavasamAsArtha	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_amRtAkara-catuHstavasamAsArtha.txt
Buddhist	sa_anityatAsUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_anityatAsUtra.txt
Buddhist	sa_aparimitAyuHsUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_aparimitAyuHsUtra.txt
Buddhist	sa_arthavinizcayasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_arthavinizcayasUtra.txt
Buddhist	sa_caturdharmanirdezasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_caturdharmanirdezasUtra.txt
Buddhist	sa_AryAnityatAsUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_AryAnityatAsUtra.txt
Buddhist	sa_AryazUra-jAtakamAlA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_AryazUra-jAtakamAlA.txt
Buddhist	sa_AryazUra-jAtakamAlA-1-15	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_AryazUra-jAtakamAlA-1-15.txt
Buddhist	sa_asaGga-mahAyAnasUtrAlaMkAra-comm	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_asaGga-mahAyAnasUtrAlaMkAra-comm.txt
Buddhist	sa_asaGga-mahAyAnasUtrAlaMkAra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_asaGga-mahAyAnasUtrAlaMkAra.txt
Buddhist	sa_zrAvakabhUmi	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zrAvakabhUmi.txt
Buddhist	sa_asaGga-zrAvakabhUmi-edshukla	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_asaGga-zrAvakabhUmi-edshukla.txt
