Calendar Date	Type	Pen. Mag.	Umbral Mag.	Pen. Begins	Alt	Partial Begins	Alt	Total Begins	Alt	Mid-Eclipse	Alt	Total Ends	Alt	Partial Ends	Alt	Pen. Ends	Alt
-1442-Dec-13	P	0.984	0.007	4:01	+39	5:54	+15	-	-	6:03	+13	-	-	6:12	+11	8:05	-11
-1441-Jun-07	P	1.12	0.078	16:25	-33	18:15	-10	-	-	18:48	-3	-	-	19:22	+03	21:12	+23
-1441-Dec-02	T	2.203	1.18	16:28	-14	17:31	-2	18:42	+13	19:13	+19	19:45	+26	20:56	+41	21:59	+55
-1440-May-27	T	2.581	1.595	0:26	+44	1:25	+41	2:25	+34	3:14	+27	4:02	+18	5:03	+07	6:02	-5
-1440-Nov-20	T	2.275	1.195	22:50	+68	0:01	+80	1:15	+73	1:49	+67	2:22	+60	3:37	+43	4:48	+28
-1439-May-16	P	1.715	0.769	15:39	-41	16:40	-29	-	-	18:06	-11	-	-	19:31	+07	20:33	+18
-1439-Nov-09	N	1.019	-0.088	23:28	+73	-	-	-	-	1:52	+64	-	-	-	-	4:16	+33
-1438-Apr-07	N	0.667	-0.297	2:22	+52	-	-	-	-	4:07	+31	-	-	-	-	5:51	+09
-1437-Mar-27	P	2.005	0.987	13:32	-57	14:39	-48	-	-	16:19	-30	-	-	17:58	-9	19:05	+05
-1437-Sep-19	P	1.926	0.937	17:24	-17	18:27	-4	-	-	20:00	+16	-	-	21:34	+35	22:36	+46
-1436-Mar-15	T	2.356	1.288	18:09	-3	19:20	+12	20:32	+27	21:12	+36	21:52	+44	23:04	+58	0:14	+68
-1435-Mar-04	N	1.007	-0.071	19:02	+09	-	-	-	-	21:24	+40	-	-	-	-	23:46	+67
-1435-Aug-29	P	1.192	0.214	1:02	+47	2:25	+39	-	-	3:15	+32	-	-	4:05	+23	5:28	+07
-1434-Jul-19	N	0.895	-0.151	23:44	+37	-	-	-	-	1:55	+34	-	-	-	-	4:05	+17
-1433-Jan-12	T	2.206	1.23	21:17	+45	22:14	+58	23:21	+72	23:54	+79	0:28	+86	1:34	+78	2:32	+65
-1433-Jul-09	T	2.249	1.175	0:50	+37	2:03	+32	3:20	+22	3:53	+17	4:26	+12	5:43	-3	6:56	-17
-1432-Jan-02	T	2.236	1.267	13:09	-39	14:05	-35	15:10	-28	15:45	-23	16:20	-17	17:25	-5	18:21	+05
-1432-Jun-27	T	2.142	1.088	1:52	+34	3:03	+25	4:26	+11	4:49	+07	5:13	+03	6:35	-14	7:46	-28
-1432-Dec-22	N	0.959	-0.048	3:58	+41	-	-	-	-	6:03	+14	-	-	-	-	8:09	-10
-1431-May-18	N	0.177	-0.795	1:36	+41	-	-	-	-	2:33	+34	-	-	-	-	3:30	+25
-1431-Nov-11	N	0.75	-0.343	18:53	+15	-	-	-	-	20:58	+42	-	-	-	-	23:03	+69
-1430-May-07	P	1.58	0.639	16:09	-34	17:12	-21	-	-	18:32	-4	-	-	19:51	+12	20:54	+24
-1430-Oct-31	P	1.968	0.863	17:11	-9	18:30	+07	-	-	20:10	+29	-	-	21:50	+51	23:09	+66
-1429-Oct-20	T	2.557	1.492	18:32	+05	19:39	+20	20:44	+34	21:31	+44	22:18	+53	23:23	+64	0:30	+69
-1428-Apr-15	P	1.313	0.312	22:53	+52	0:16	+58	-	-	1:18	+56	-	-	2:19	+49	3:42	+34
-1428-Oct-09	P	1.282	0.276	3:45	+33	5:08	+15	-	-	6:05	+03	-	-	7:02	-9	8:24	-26
-1427-Mar-06	N	0.701	-0.377	14:46	-43	-	-	-	-	16:48	-21	-	-	-	-	18:50	+04
