date	type	umb_mag	par_start_time	par_start_alt	mid_ecl_time	mid_ecl_alt	par_end_time	par_end_alt	vis00	vis05	vis10	direction	ynum	pp_range	astro_date	mnum	dnum	astro_jd	astro_mjd
-409-Dec-22	P	0.949	01:59	-33	03:34	-14	05:09	7	True	True	False	west	-409	True	-00409-12-22	12	22	1572030.5	-827970.0
-406-Oct-21	T	1.378	05:18	12	07:08	38	08:57	65	True	True	True	west	-406	True	-00406-10-21	10	21	1573064.5	-826936.0
-402-Feb-13	T	1.583	05:03	2	06:57	29	08:52	56	True	False	False	west	-402	True	-00402-02-13	2	13	1574275.5	-825725.0
-391-Jan-12	T	1.422	01:59	-35	03:50	-13	05:41	12	True	True	True	west	-391	True	-00391-01-12	1	12	1578261.5	-821739.0
-389-Nov-12	P	0.161	05:32	16	06:16	26	07:00	37	True	True	True	west	-389	True	-00389-11-12	11	12	1579295.5	-820705.0
-379-May-27	P	0.391	03:18	-22	04:28	-7	05:38	9	True	True	False	west	-379	True	-00379-05-27	5	27	1582779.5	-817221.0
-366-Aug-30	T	1.327	05:32	9	07:14	32	08:55	54	True	True	False	west	-366	True	-00366-08-30	8	30	1587622.5	-812378.0
-363-Jun-29	P	0.327	05:05	1	06:12	15	07:19	29	True	False	False	west	-363	True	-00363-06-29	6	29	1588656.5	-811344.0
-341-Oct-22	T	1.053	02:19	-32	04:03	-7	05:47	18	True	True	True	west	-341	True	-00341-10-22	10	22	1596806.5	-803194.0
-340-Apr-17	T	1.301	05:39	11	07:24	36	09:09	58	True	True	True	west	-340	True	-00340-04-17	4	17	1596984.5	-803016.0
-337-Feb-14	T	1.302	01:57	-41	03:45	-17	05:33	8	True	True	False	west	-337	True	-00337-02-14	2	14	1598017.5	-801983.0
-326-Jan-14	T	1.44	02:26	-30	04:08	-9	05:51	14	True	True	True	west	-326	True	-00326-01-14	1	14	1602004.5	-797996.0
-314-May-29	P	0.596	05:55	14	07:12	30	08:30	45	True	True	True	west	-314	True	-00314-05-29	5	29	1606522.5	-793478.0
-307-Jan-14	T	1.048	02:07	-34	03:44	-14	05:21	7	True	True	False	west	-307	True	-00307-01-14	1	14	1608944.5	-791056.0
-304-Nov-01	T	1.338	02:15	-30	04:00	-7	05:45	18	True	True	True	west	-304	True	-00304-11-01	11	1	1610331.5	-789669.0
-303-Apr-28	P	0.056	05:03	2	05:31	9	06:00	15	True	True	True	west	-303	True	-00303-04-28	4	28	1610509.5	-789491.0
-292-Mar-27	P	0.001	05:10	3	05:13	4	05:17	5	True	False	False	west	-292	True	-00292-03-27	3	27	1614494.5	-785506.0
-291-Feb-15	P	0.093	04:45	-3	05:19	5	05:52	13	True	True	True	west	-291	True	-00291-02-15	2	15	1614819.5	-785181.0
-281-Feb-25	P	0.008	05:53	13	06:03	16	06:13	18	True	True	True	west	-281	True	-00281-02-25	2	25	1618481.5	-781519.0
-250-Dec-04	T	1.355	04:27	1	06:12	24	07:56	47	True	False	False	west	-250	True	-00250-12-04	12	4	1630086.5	-769914.0
-236-Sep-01	P	0.853	05:28	8	07:06	31	08:44	53	True	True	False	west	-236	True	-00236-09-01	9	1	1635106.5	-764894.0
-231-Dec-04	P	0.18	04:39	3	05:24	13	06:09	23	True	False	False	west	-231	True	-00231-12-04	12	4	1637026.5	-762974.0
-227-Mar-29	P	0.266	05:15	5	06:09	18	07:04	31	True	False	False	west	-227	True	-00227-03-29	3	29	1638237.5	-761763.0
-225-Aug-02	T	1.2	02:16	-39	03:55	-17	05:33	5	True	False	False	west	-225	True	-00225-08-02	8	2	1639093.5	-760907.0
-222-Jun-01	P	0.322	02:54	-28	04:01	-13	05:08	1	True	False	False	west	-222	True	-00222-06-01	6	1	1640127.5	-759873.0
-220-Nov-03	P	0.032	05:11	10	05:32	15	05:53	20	True	True	True	west	-220	True	-00220-11-03	11	3	1641013.5	-758987.0
