sloka	pada	english	speech_part	word_count	verb_count
3.75.29	विवेश	entered	[[('entered', 'VBN')]]	1	1
4.46.3	विवेश	entered	[[('entered', 'VBN')]]	1	1
5.2.58	विवेश	entered	[[('entered', 'VBN')]]	1	1
1.46.18	विवेश च	entered	[[('entered', 'VBN')]]	1	1
3.31.50	विवेश च	entered	[[('entered', 'VBN')]]	1	1
3.54.11	विवेष्टन्तीम्	struggling	[[('struggling', 'VBG')]]	1	1
2.13.26	विवेष्टमानम्	writhing	[[('writhing', 'VBG')]]	1	1
3.24.25	विव्यथिरे	were alarmed	[[('were', 'VBD'), ('alarmed', 'VBN')]]	2	2
2.75.17	विव्यथे	was afflicted	[[('was', 'VBD'), ('afflicted', 'VBN')]]	2	2
1.26.25	विव्याथ	pierced	[[('pierced', 'VBN')]]	1	1
3.26.8	विव्याध	pierced	[[('pierced', 'VBN')]]	1	1
3.45.32	विशङ्कसे	doubting	[[('doubting', 'VBG')]]	1	1
2.82.2	विशताम्	entered	[[('entered', 'VBN')]]	1	1
1.14.31	विशशास	severed	[[('severed', 'VBN')]]	1	1
2.39.24	विशिष्यते	is distinguished	[[('is', 'VBZ'), ('distinguished', 'VBN')]]	2	2
1.65.13	विशीर्यन्ते	are riven	[[('are', 'VBP'), ('riven', 'VBN')]]	2	2
1.62.2	विश्रममाणस्य	was resting	[[('was', 'VBD'), ('resting', 'VBG')]]	2	2
5.1.115	विश्रान्तः	resting	[[('resting', 'VBG')]]	1	1
5.1.99	विश्रान्तः	resting	[[('resting', 'VBG')]]	1	1
5.64.13	विश्रान्ताः	rested	[[('rested', 'VBN')]]	1	1
4.51.19	विश्रान्तान्	had rested	[[('had', 'VBD'), ('rested', 'VBN')]]	2	2
5.59.23	विश्रावितम्	announced	[[('announced', 'VBD')]]	1	1
1.29.4	विश्रुतः	famed	[[('famed', 'VBN')]]	1	1
1.42.2	विश्रुतः	celebrated	[[('celebrated', 'VBN')]]	1	1
1.5.23	विश्रुतः	renowned	[[('renowned', 'VBN')]]	1	1
1.71.3	विश्रुतः	known	[[('known', 'VBN')]]	1	1
3.70.18	विश्रुतम्	renowned	[[('renowned', 'VBN')]]	1	1
1.32.9	विश्रुता	renowned	[[('renowned', 'VBN')]]	1	1
1.11.10	विश्रुताः	renowned	[[('renowned', 'VBN')]]	1	1
2.110.27	विश्रुताः	are celebrated	[[('are', 'VBP'), ('celebrated', 'VBN')]]	2	2
5.63.23	विश्रुताः	renowned	[[('renowned', 'VBN')]]	1	1
2.8.31	विश्रृतम्	is renowned	[[('is', 'VBZ'), ('renowned', 'VBN')]]	2	2
1.1.67	विश्वस्तः च	was convinced	[[('was', 'VBD'), ('convinced', 'VBN')]]	2	2
1.50.12	विश्वामित्रम्	addressing	[[('addressing', 'VBG')]]	1	1
5.35.84	विश्वासिता	having trusted	[[('having', 'VBG'), ('trusted', 'VBN')]]	2	2
2.63.55	विषण्णः	dejected	[[('dejected', 'VBN')]]	1	1
2.71.32	विषण्णः	dejected	[[('dejected', 'VBN')]]	1	1
2.40.39	विषण्णम्	dejected	[[('dejected', 'VBN')]]	1	1
2.36.11	विषण्णा च	dejected	[[('dejected', 'VBN')]]	1	1
4.66.37	विषण्णाः	are dejected	[[('are', 'VBP'), ('dejected', 'VBN')]]	2	2
2.77.20	विषण्णौ	dejected	[[('dejected', 'VBN')]]	1	1
2.10.17	विषसाद	dejected	[[('dejected', 'VBN')]]	1	1
2.10.21	विषसाद	grieved	[[('grieved', 'VBN')]]	1	1
5.1.148	विषादम्	dejected	[[('dejected', 'VBN')]]	1	1
3.62.21	विषादयन्	worrying	[[('worrying', 'VBG')]]	1	1
2.53.30	विषादयसि	disheartening	[[('disheartening', 'VBG')]]	1	1
5.49.14	विष्ठितम्	seated	[[('seated', 'VBN')]]	1	1
1.43.18	विष्ठिताः	were stationed	[[('were', 'VBD'), ('stationed', 'VBN')]]	2	2
