epoch	tara_name	decl	geo_lat	rise	lat	lon	ra	city_lat°	city_lat	city	year	dt	jd
-3150	mahendra	75.58	14.42	2.22	74.86	125.24	-127.23	9.92°	9.92	Madurai	-3151	-3151-12-23T23:12:29	570512.25
-3150	agni	74.79	15.21	3.45	78.51	120.39	-112.59	9.92°	9.92	Madurai	-3151	-3151-12-23T23:12:29	570512.25
-3150	vaśiṣṭha	79.89	10.11	15.06	55.98	93.36	100.77	9.92°	9.92	Madurai	-3151	-3151-12-23T23:12:29	570512.25
-3150	arundhatī 	80.05	9.95	14.68	56.16	93.54	101.47	9.92°	9.92	Madurai	-3151	-3151-12-23T23:12:29	570512.25
-3100	dhruva	88.22	1.78	-1	66.1	85.62	-6.23	9.92°	9.92	Madurai	-3101	-3101-12-24T23:12:29	588775.25
-3100	mārīca	80.38	9.62	-1	71.06	112.55	-138.18	9.92°	9.92	Madurai	-3101	-3101-12-24T23:12:29	588775.25
-3100	mahendra	75.41	14.59	2.19	74.85	125.92	-127.49	9.92°	9.92	Madurai	-3101	-3101-12-24T23:12:29	588775.25
-3100	agni	74.69	15.31	3.39	78.51	121.09	-112.92	9.92°	9.92	Madurai	-3101	-3101-12-24T23:12:29	588775.25
-3100	vaśiṣṭha	79.83	10.17	15.26	55.98	94.05	102.94	9.92°	9.92	Madurai	-3101	-3101-12-24T23:12:29	588775.25
-3100	arundhatī 	79.98	10.02	14.99	56.16	94.23	103.66	9.92°	9.92	Madurai	-3101	-3101-12-24T23:12:29	588775.25
-3050	dhruva	88.5	1.5	-1	66.11	86.32	-6.7	9.92°	9.92	Madurai	-3051	-3051-12-23T23:12:29	607037.25
-3050	mārīca	80.17	9.83	-1	71.06	113.27	-138.66	9.92°	9.92	Madurai	-3051	-3051-12-23T23:12:29	607037.25
-3050	mahendra	75.24	14.76	2.22	74.85	126.62	-127.74	9.92°	9.92	Madurai	-3051	-3051-12-23T23:12:29	607037.25
-3050	agni	74.57	15.43	3.4	78.51	121.82	-113.25	9.92°	9.92	Madurai	-3051	-3051-12-23T23:12:29	607037.25
-3050	vaśiṣṭha	79.76	10.24	15.52	55.99	94.76	105.12	9.92°	9.92	Madurai	-3051	-3051-12-23T23:12:29	607037.25
-3050	arundhatī 	79.91	10.09	15.31	56.16	94.93	105.86	9.92°	9.92	Madurai	-3051	-3051-12-23T23:12:29	607037.25
-3000	dhruva	88.78	1.22	-1	66.11	87.02	-7.7	9.92°	9.92	Madurai	-3001	-3001-12-24T23:12:29	625300.25
-3000	mārīca	79.95	10.05	22.8	71.07	113.97	-139.08	9.92°	9.92	Madurai	-3001	-3001-12-24T23:12:29	625300.25
-3000	mahendra	75.07	14.93	2.19	74.85	127.31	-127.95	9.92°	9.92	Madurai	-3001	-3001-12-24T23:12:29	625300.25
-3000	agni	74.46	15.54	3.35	78.51	122.54	-113.56	9.92°	9.92	Madurai	-3001	-3001-12-24T23:12:29	625300.25
-3000	vaśiṣṭha	79.68	10.32	15.71	56	95.45	107.25	9.92°	9.92	Madurai	-3001	-3001-12-24T23:12:29	625300.25
-3000	arundhatī 	79.83	10.17	15.54	56.17	95.63	108.01	9.92°	9.92	Madurai	-3001	-3001-12-24T23:12:29	625300.25
-2950	dhruva	89.06	0.94	-1	66.11	87.71	-9.05	9.92°	9.92	Madurai	-2951	-2951-12-24T23:12:29	643563.25
-2950	mārīca	79.74	10.26	23.1	71.07	114.66	-139.5	9.92°	9.92	Madurai	-2951	-2951-12-24T23:12:29	643563.25
-2950	mahendra	74.91	15.09	2.16	74.85	127.99	-128.17	9.92°	9.92	Madurai	-2951	-2951-12-24T23:12:29	643563.25
-2950	agni	74.35	15.65	3.29	78.51	123.24	-113.87	9.92°	9.92	Madurai	-2951	-2951-12-24T23:12:29	643563.25
-2950	vaśiṣṭha	79.59	10.41	15.9	56	96.14	109.33	9.92°	9.92	Madurai	-2951	-2951-12-24T23:12:29	643563.25
-2950	arundhatī 	79.74	10.26	15.77	56.17	96.32	110.11	9.92°	9.92	Madurai	-2951	-2951-12-24T23:12:29	643563.25
-2900	dhruva	89.34	0.66	-1	66.12	88.41	-12.01	9.92°	9.92	Madurai	-2901	-2901-12-24T23:12:29	661825.25
-2900	mārīca	79.53	10.47	23.35	71.07	115.37	-139.89	9.92°	9.92	Madurai	-2901	-2901-12-24T23:12:29	661825.25
-2900	mahendra	74.74	15.26	2.19	74.84	128.68	-128.38	9.92°	9.92	Madurai	-2901	-2901-12-24T23:12:29	661825.25
-2900	agni	74.23	15.77	3.31	78.51	123.96	-114.17	9.92°	9.92	Madurai	-2901	-2901-12-24T23:12:29	661825.25
