year	event	date	sun_lon	obj_lon	sun_lon_dms	obj_lon_dms	obj_rise_set	sun_rise_set	delta_rise_set	age	mag	sun_alt	obj_lat	az_diff	lon_diff	sun_sz	obj_az
-534	cosmical_setting	-534-11-19	231.3	47.9	231° 17'	47° 56'	6:22	6:51	-0:28h	2d 03h	-1.4	-6° 43'	1° 41'	-177° 32'	176° 38'	287° 19'	109° 46'
-533	last_visibility	-533-08-03	123.6	150.2	123° 38'	150° 10'	20:21	19:16	1:05h	-89d 10h	1.9	-13° 23'	0° 51'	-20° 21'	26° 33'	122° 23'	102° 02'
-532	first_visibility	-532-03-03	336.8	307.3	336° 49'	307° 20'	5:51	6:55	-1:03h	122d 23h	1.4	-14° 33'	-1° 10'	23° 16'	-29° 29'	272° 15'	295° 32'
-532	acronychal_rising	-532-12-18	261.9	87.2	261° 54'	87° 11'	17:56	17:29	0:27h	-3d 23h	-1	-6° 10'	3° 45'	173° 56'	-174° 43'	66° 22'	240° 18'
-532	cosmical_setting	-532-12-26	269.6	84.2	269° 34'	84° 10'	6:51	7:21	-0:29h	3d 14h	-1	-6° 36'	3° 54'	-173° 55'	174° 36'	293° 40'	119° 45'
-531	last_visibility	-531-09-08	159.4	188.5	159° 26'	188° 29'	19:42	18:43	0:59h	-114d 04h	1.6	-13° 14'	0° 03'	-23° 45'	29° 04'	107° 41'	83° 56'
-530	first_visibility	-530-05-21	52.4	21.5	52° 23'	21° 28'	4:13	5:24	-1:11h	140d 04h	1.6	-14° 36'	-0° 36'	25° 07'	-30° 55'	237° 55'	263° 02'
-529	acronychal_rising	-529-01-22	296.9	120.8	296° 52'	120° 48'	18:16	17:50	0:25h	-3d 00h	-1	-6° 02'	4° 38'	174° 21'	-176° 04'	69° 08'	243° 29'
-529	cosmical_setting	-529-01-31	305.4	117.5	305° 25'	117° 27'	6:54	7:22	-0:27h	5d 12h	-1	-6° 24'	4° 38'	-171° 07'	172° 02'	288° 28'	117° 21'
-529	last_visibility	-529-12-07	250.0	271.7	249° 57'	271° 40'	18:28	17:27	1:01h	-95d 23h	1.4	-13° 17'	-1° 07'	-13° 29'	21° 43'	71° 46'	58° 18'
-528	first_visibility	-528-06-21	82.4	56.7	82° 24'	56° 40'	3:57	5:14	-1:16h	100d 11h	1.8	-14° 38'	0° 13'	18° 04'	-25° 43'	231° 09'	249° 13'
-527	acronychal_rising	-527-02-27	333.2	156.5	333° 12'	156° 29'	18:44	18:17	0:26h	-2d 14h	-1.3	-6° 28'	4° 03'	175° 31'	-176° 43'	81° 38'	257° 09'
