date	jd	yr	season	sun_lon	sun_lat	moon_lon	moon_lat	phase	sun_naks	moon_naks	sun_न	moon_न	moon_phase	eqnx_4_tol	kv_pair	kv_adj
-01617-03-23	1130543.59	-1616	1	0.66	0.01	180.44	-4.29	179.78	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	True
-01609-03-24	1133466.98	-1608	1	2.05	0.01	182.05	4.97	180.00	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01607-09-24	1134382.24	-1606	4	181.53	-0.01	0.54	-2.94	179.01	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01601-03-25	1136390.47	-1600	1	3.55	0.01	183.34	-4.80	179.80	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01599-09-26	1137306.10	-1598	4	183.47	-0.01	3.23	4.25	179.75	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	True
-01598-03-23	1137483.62	-1597	1	1.08	0.01	180.89	-3.90	179.82	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	True
-01590-03-24	1140406.91	-1589	1	2.36	0.01	182.04	4.84	179.69	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01588-09-24	1141321.83	-1587	4	181.50	-0.01	1.41	-2.32	179.90	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01582-03-25	1143330.26	-1581	1	3.73	0.01	183.64	-4.95	179.92	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01580-09-25	1144245.40	-1579	4	183.16	-0.01	2.52	3.93	179.35	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	True
-01579-03-23	1144423.57	-1578	1	1.41	0.01	181.36	-3.43	179.96	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	True
-01577-09-23	1145338.35	-1576	4	180.34	-0.01	0.11	-0.33	179.76	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01574-03-27	1146253.62	-1573	1	5.09	0.01	184.21	4.18	179.12	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	False	True	False
