date	hhmm	dist	lon	lat
1983-Nov-01	00:00	17.84477564	169.6016740	1.4296314
1983-Nov-06	00:00	17.53994736	172.6077891	1.4509905
1983-Nov-11	00:00	17.22326482	175.5952541	1.4717071
1983-Nov-16	00:00	16.89537169	178.5625902	1.4918431
1983-Nov-21	00:00	16.55679037	181.5093690	1.5114016
1983-Nov-26	00:00	16.20782493	184.4352024	1.5303040
1983-Dec-01	00:00	15.84864293	187.3378975	1.5484403
1983-Dec-06	00:00	15.47968503	190.2148276	1.5657838
1983-Dec-11	00:00	15.10175512	193.0629861	1.5823704
1983-Dec-16	00:00	14.71571268	195.8800439	1.5981889
1983-Dec-21	00:00	14.32227662	198.6646561	1.6131343
1983-Dec-26	00:00	13.92190861	201.4144266	1.6270146
1983-Dec-31	00:00	13.51503994	204.1253355	1.6396819
1984-Jan-05	00:00	13.10247947	206.7925609	1.6510896
1984-Jan-10	00:00	12.68530103	209.4109198	1.6611709
1984-Jan-15	00:00	12.26457092	211.9763229	1.6697471
1984-Jan-20	00:00	11.84117823	214.4848453	1.6765063
1984-Jan-25	00:00	11.41574243	216.9305809	1.6810841
1984-Jan-30	00:00	10.98902799	219.3057923	1.6832327
1984-Feb-04	00:00	10.56220951	221.6010514	1.6827239
1984-Feb-09	00:00	10.13663800	223.8071125	1.6791893
1984-Feb-14	00:00	9.71362548	225.9153355	1.6720620
1984-Feb-19	00:00	9.29426937	227.9158285	1.6605956
1984-Feb-24	00:00	8.87949420	229.7958204	1.6440632
1984-Feb-29	00:00	8.47059550	231.5390844	1.6218192
1984-Mar-05	00:00	8.06927890	233.1276902	1.5930374
1984-Mar-10	00:00	7.67740742	234.5441144	1.5565812
1984-Mar-15	00:00	7.29681428	235.7705665	1.5109876
1984-Mar-20	00:00	6.92915149	236.7870930	1.4546129
1984-Mar-25	00:00	6.57618947	237.5700660	1.3859332
1984-Mar-30	00:00	6.24029959	238.0932201	1.3033837
1984-Apr-04	00:00	5.92426189	238.3331746	1.2051355
1984-Apr-09	00:00	5.63099457	238.2723271	1.0891717
1984-Apr-14	00:00	5.36329235	237.8996827	0.9535723
1984-Apr-19	00:00	5.12374900	237.2112454	0.7971311
1984-Apr-24	00:00	4.91517676	236.2117071	0.6198498
1984-Apr-29	00:00	4.74059020	234.9232008	0.4228626
1984-May-04	00:00	4.60263852	233.3920807	0.2085490
1984-May-09	00:00	4.50308734	231.6877576	-0.0193375
1984-May-14	00:00	4.44245555	229.8950263	-0.2556150
1984-May-19	00:00	4.42024762	228.1039063	-0.4937848
1984-May-24	00:00	4.43536272	226.4037007	-0.7269704
1984-May-29	00:00	4.48590795	224.8804571	-0.9492006
1984-Jun-03	00:00	4.56906219	223.6086073	-1.1561179
1984-Jun-08	00:00	4.68115410	222.6420109	-1.3451562
1984-Jun-13	00:00	4.81813990	222.0097399	-1.5150015
1984-Jun-18	00:00	4.97634918	221.7199304	-1.6651012
1984-Jun-23	00:00	5.15261476	221.7692054	-1.7958146
1984-Jun-28	00:00	5.34400575	222.1482434	-1.9083939
1984-Jul-03	00:00	5.54767780	222.8420182	-2.0046761
1984-Jul-08	00:00	5.76085677	223.8290505	-2.0865689
1984-Jul-13	00:00	5.98126910	225.0834801	-2.1554627
1984-Jul-18	00:00	6.20735367	226.5794707	-2.2123955
1984-Jul-23	00:00	6.43794755	228.2955571	-2.2584561
1984-Jul-28	00:00	6.67199832	230.2138784	-2.2948503
1984-Aug-02	00:00	6.90837413	232.3174452	-2.3227974
1984-Aug-07	00:00	7.14597272	234.5886061	-2.3431511
1984-Aug-12	00:00	7.38417258	237.0095087	-2.3562987
1984-Aug-17	00:00	7.62276504	239.5652269	-2.3625653
1984-Aug-22	00:00	7.86165646	242.2448992	-2.3624103
1984-Aug-27	00:00	8.10066805	245.0396102	-2.3564088
1984-Sep-01	00:00	8.33938364	247.9405203	-2.3450849
1984-Sep-06	00:00	8.57746164	250.9376936	-2.3286228
1984-Sep-11	00:00	8.81498006	254.0209332	-2.3070602
1984-Sep-16	00:00	9.05223055	257.1828602	-2.2805543
1984-Sep-21	00:00	9.28949463	260.4182856	-2.2494090
1984-Sep-26	00:00	9.52685556	263.7225579	-2.2139992
1984-Oct-01	00:00	9.76412000	267.0908307	-2.1745592
1984-Oct-06	00:00	10.00126954	270.5161810	-2.1311150
1984-Oct-11	00:00	10.23862011	273.9922810	-2.0837519
1984-Oct-16	00:00	10.47659338	277.5149934	-2.0326994
1984-Oct-21	00:00	10.71553101	281.0810841	-1.9782870
1984-Oct-26	00:00	10.95548758	284.6877737	-1.9208214
1984-Oct-31	00:00	11.19628585	288.3314344	-1.8604353
1984-Nov-05	00:00	11.43799206	292.0063972	-1.7972231
1984-Nov-10	00:00	11.68091777	295.7084609	-1.7314040
1984-Nov-15	00:00	11.92542792	299.4346824	-1.6633021
1984-Nov-20	00:00	12.17174108	303.1826440	-1.5932632
1984-Nov-25	00:00	12.41972764	306.9506956	-1.5215199
1984-Nov-30	00:00	12.66912627	310.7351643	-1.4481938
1984-Dec-05	00:00	12.91993476	314.5316940	-1.3734791
1984-Dec-10	00:00	13.17233559	318.3373165	-1.2976742
1984-Dec-15	00:00	13.42654221	322.1496040	-1.2211211
1984-Dec-20	00:00	13.68254399	325.9672123	-1.1440923
1984-Dec-25	00:00	13.93997613	329.7888573	-1.0667253
1984-Dec-30	00:00	14.19845881	333.6110890	-0.9891520
1985-Jan-04	00:00	14.45785499	337.4309939	-0.9116022
1985-Jan-09	00:00	14.71819192	341.2463118	-0.8343635
1985-Jan-14	00:00	14.97951036	345.0553466	-0.7576977
1985-Jan-19	00:00	15.24154420	348.8579825	-0.6817346
1985-Jan-24	00:00	15.50373532	352.6527495	-0.6065322
1985-Jan-29	00:00	15.76560704	356.4372290	-0.5322169
1985-Feb-03	00:00	16.02690537	0.2096089	-0.4589890
1985-Feb-08	00:00	16.28755091	3.9681129	-0.3870610
1985-Feb-13	00:00	16.54743698	7.7123740	-0.3165535
1985-Feb-18	00:00	16.80608659	11.4427624	-0.2474639
1985-Feb-23	00:00	17.06284117	15.1579794	-0.1798114
1985-Feb-28	00:00	17.31718183	18.8568120	-0.1136999
1985-Mar-05	00:00	17.56880562	22.5380169	-0.0492731
1985-Mar-10	00:00	17.81760146	26.2005151	0.0133579
1985-Mar-15	00:00	18.06334820	29.8452566	0.0742120
1985-Mar-20	00:00	18.30544166	33.4724033	0.1333562
1985-Mar-25	00:00	18.54321216	37.0814289	0.1907774
1985-Mar-30	00:00	18.77615613	40.6718307	0.2463972
1985-Apr-04	00:00	19.00399753	44.2426018	0.3001301
1985-Apr-09	00:00	19.22664589	47.7938241	0.3519678
1985-Apr-14	00:00	19.44378773	51.3268210	0.4020148
1985-Apr-19	00:00	19.65477761	54.8417847	0.4503366
1985-Apr-24	00:00	19.85899065	58.3389151	0.4969133
1985-Apr-29	00:00	20.05598296	61.8178191	0.5416884
1985-May-04	00:00	20.24556278	65.2778744	0.5846329
1985-May-09	00:00	20.42766524	68.7202252	0.6258217
1985-May-14	00:00	20.60190350	72.1458433	0.6653729
1985-May-19	00:00	20.76765190	75.5554111	0.7033195
1985-May-24	00:00	20.92435367	78.9493096	0.7396334
1985-May-29	00:00	21.07165743	82.3269855	0.7742801
1985-Jun-03	00:00	21.20948364	85.6886258	0.8072886
1985-Jun-08	00:00	21.33776362	89.0355500	0.8387732
1985-Jun-13	00:00	21.45606842	92.3686513	0.8688154
1985-Jun-18	00:00	21.56382624	95.6889607	0.8974147
1985-Jun-23	00:00	21.66056060	98.9965337	0.9245400
1985-Jun-28	00:00	21.74604582	102.2909034	0.9501883
1985-Jul-03	00:00	21.82031121	105.5729588	0.9744372
1985-Jul-08	00:00	21.88325612	108.8436166	0.9973903
1985-Jul-13	00:00	21.93445287	112.1041262	1.0190854
1985-Jul-18	00:00	21.97340129	115.3552852	1.0395238
1985-Jul-23	00:00	21.99972603	118.5967256	1.0585423
1985-Jul-28	00:00	22.01336272	121.8285417	1.0763158
1985-Aug-02	00:00	22.01442165	125.0514750	1.0929158
1985-Aug-07	00:00	22.00277651	128.2664379	1.1083853
1985-Aug-12	00:00	21.97804714	131.4747998	1.1227059
1985-Aug-17	00:00	21.93982434	134.6768193	1.1358413
1985-Aug-22	00:00	21.88787819	137.8719507	1.1477908
1985-Aug-27	00:00	21.82233414	141.0605400	1.1586262
1985-Sep-01	00:00	21.74335886	144.2429841	1.1684127
1985-Sep-06	00:00	21.65084508	147.4205230	1.1771427
1985-Sep-11	00:00	21.54450634	150.5941134	1.1847676
1985-Sep-16	00:00	21.42406030	153.7633899	1.1912515
1985-Sep-21	00:00	21.28949036	156.9280217	1.1966279
1985-Sep-26	00:00	21.14112147	160.0879509	1.2009686
1985-Oct-01	00:00	20.97918282	163.2436707	1.2042765
