gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
β1 Sco,N17-Anu,17,other,Acrab,HIP 78820,अनूराधा,Anūrādhā,Mitra,241.36,-19.81,243.18,1.01,286,1136957.54,-1600-10-13 00:59:23.928,98.63,7.24
π Sco,N17-Anu,17,other,Fang,HIP 78265,अनूराधा,Anūrādhā,Mitra,239.71,-26.11,242.93,-5.48,287,1136958.54,-1600-10-14 01:00:07.214,105.74,7.69
ω1 Sco,N17-Anu,17,other,Jabhat Acrabi I,HIP 78933,अनूराधा,Anūrādhā,Mitra,241.70,-20.67,243.66,0.22,287,1136958.54,-1600-10-14 01:00:07.214,99.94,7.68
ε Sco,N18-Jye,18,rep,Larawag,HIP 82396,ज्येष्ठा,Jyeṣṭhā,Indra,252.54,-34.29,255.33,-11.74,300,1136971.55,-1600-10-27 01:10:34.870,118.01,7.14
α Sco,N18-Jye,18,other,Antares,HIP 80763,ज्येष्ठा,Jyeṣṭhā,Indra,247.35,-26.43,249.75,-4.57,293,1136964.55,-1600-10-20 01:04:48.577,107.50,7.06
σ Sco,N18-Jye,18,other,Alniyat,HIP 80112,ज्येष्ठा,Jyeṣṭhā,Indra,245.30,-25.59,247.79,-4.04,291,1136962.54,-1600-10-18 01:03:22.004,106.06,7.11
κ Sco,N19-Mul,19,rep,Mula,HIP 86670,मूल,Mūla, Nirṛti,265.62,-39.03,266.46,-15.64,313,1136984.56,-1600-11-09 01:21:24.168,127.61,7.14
ζ2 Sco,N19-Mul,19,other,zet2Sco,HIP 82729,मूल,Mūla, Nirṛti,253.65,-42.36,257.23,-19.64,304,1136975.55,-1600-10-31 01:13:49.659,127.94,7.12
θ Sco,N19-Mul,19,other,Sargas,HIP 86228,मूल,Mūla, Nirṛti,264.33,-43.00,265.59,-19.64,314,1136985.56,-1600-11-10 01:22:29.098,132.41,7.61
ι1 Sco,N19-Mul,19,other,Girtab,HIP 87073,मूल,Mūla, Nirṛti,266.90,-40.13,267.51,-16.71,315,1136986.56,-1600-11-11 01:23:12.385,129.68,7.53
λ Sco,N19-Mul,19,other,Shaula,HIP 85927,मूल,Mūla, Nirṛti,263.40,-37.10,264.58,-13.79,311,1136982.56,-1600-11-07 01:19:57.595,125.04,7.75
ν Sco,N19-Mul,19,other,Lesath,HIP 85696,मूल,Mūla, Nirṛti,262.69,-37.30,264.00,-14.01,310,1136981.55,-1600-11-06 01:18:52.665,124.72,7.33
λ Sgr,N20-PAsh,20,rep,Kaus Borealis,HIP 90496,पूर्वाषाढा,P Aṣāḍhā,Ap,276.99,-25.42,276.31,-2.14,319,1136990.56,-1600-11-15 01:26:48.818,115.71,7.01
γ Sgr,N20-PAsh,20,other,Alnasl,HIP 88635,पूर्वाषाढा,P Aṣāḍhā,Ap,271.45,-30.42,271.25,-6.99,316,1136987.56,-1600-11-12 01:24:17.315,119.91,7.72
δ Sgr,N20-PAsh,20,other,Kaus Media,HIP 89931,पूर्वाषाढा,P Aṣāḍhā,Ap,275.25,-29.83,274.57,-6.47,319,1136990.56,-1600-11-15 01:26:48.818,120.40,7.43
ε Sgr,N20-PAsh,20,other,Kaus Australis,HIP 90185,पूर्वाषाढा,P Aṣāḍhā,Ap,276.04,-34.38,275.07,-11.05,321,1136992.56,-1600-11-17 01:28:37.034,125.95,7.34
τ Sgr,N21-UAsh,21,rep,Namalsadirah II,HIP 93864,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,286.74,-27.67,284.82,-5.09,329,1137000.57,-1600-11-25 01:35:28.257,122.21,7.25
ζ Sgr,N21-UAsh,21,other,Ascella,HIP 93506,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,285.65,-29.88,283.63,-7.18,329,1137000.57,-1600-11-25 01:35:28.257,124.61,7.60
σ Sgr,N21-UAsh,21,other,Nunki,HIP 92855,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,283.82,-26.30,282.38,-3.45,326,1136997.56,-1600-11-22 01:32:56.754,119.58,7.40
φ Sgr,N21-UAsh,21,other,Namalsadirah I,HIP 92041,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,281.41,-26.99,280.17,-3.95,324,1136995.56,-1600-11-20 01:31:08.537,119.49,7.46
α Aql,N22-Shr,22,rep,Altair,HIP 97649,श्रवण,Śravaṇa,Viṣṇu,297.70,8.87,301.77,29.30,333,1137004.57,-1600-11-29 01:39:04.689,86.45,7.82
β Aql,N22-Shr,22,other,Alshain,HIP 98036,श्रवण,Śravaṇa,Viṣṇu,298.83,6.41,302.41,26.66,334,1137005.57,-1600-11-30 01:39:47.976,89.29,7.36
γ Aql,N22-Shr,22,other,Tarazed,HIP 97278,श्रवण,Śravaṇa,Viṣṇu,296.56,10.61,300.93,31.24,331,1137002.57,-1600-11-27 01:37:16.473,83.73,7.05
β Del,N23-Dha,23,rep,Rotanev,HIP 101769,धनिष्ठा,Dhaniṣṭhā,Vasu,309.39,14.60,316.33,31.92,343,1137014.57,-1600-12-09 01:46:39.198,84.54,7.64
α Del,N23-Dha,23,other,Sualocin,HIP 101958,धनिष्ठा,Dhaniṣṭhā,Vasu,309.91,15.91,317.37,33.02,343,1137014.57,-1600-12-09 01:46:39.198,83.15,7.34
γ2 Del,N23-Dha,23,other,Al Salib,HIP 102532,धनिष्ठा,Dhaniṣṭhā,Vasu,311.66,16.12,319.36,32.70,345,1137016.58,-1600-12-11 01:48:05.772,83.76,7.74
δ Del,N23-Dha,23,other,Al Ukud,HIP 102281,धनिष्ठा,Dhaniṣṭhā,Vasu,310.86,15.07,318.11,31.95,344,1137015.57,-1600-12-10 01:47:22.485,84.38,7.32
α Aqr,N23-Dha,23,other,Sadalmelik,HIP 109074,धनिष्ठा,Dhaniṣṭhā,Vasu,331.45,-0.32,333.35,10.66,3,1136674.58,-1600-01-04 01:57:28.497,108.25,7.11
β Aqr,N23-Dha,23,other,Sadaldud,HIP 106278,धनिष्ठा,Dhaniṣṭhā,Vasu,322.89,-5.57,323.39,8.62,361,1137032.58,-1600-12-27 01:56:01.924,111.73,7.78
γ Aqr,N23-Dha,23,other,Sadachbia,HIP 110395,धनिष्ठा,Dhaniṣṭhā,Vasu,335.41,-1.39,336.71,8.24,8,1136679.58,-1600-01-09 01:57:28.497,110.69,7.08
ζ1 Aqr,N23-Dha,23,other,zetAqr,HR 8559,धनिष्ठा,Dhaniṣṭhā,Vasu,337.21,-0.02,338.90,8.85,10,1136681.58,-1600-01-11 01:57:28.497,109.86,7.40
η Aqr,N23-Dha,23,other,etaAqr,HIP 111497,धनिष्ठा,Dhaniṣṭhā,Vasu,338.84,-0.12,340.40,8.15,12,1136683.58,-1600-01-13 01:57:06.854,110.43,7.37
λ Aqr,N24-Sha,24,rep,Hydor,HIP 112961,शतभिषक्,Śatabhiṣak,Varuṇa,343.15,-7.58,341.57,-0.39,21,1136692.58,-1600-01-22 01:54:35.351,120.39,7.33
α Peg,N25-PBha,25,rep,Markab,HIP 113963,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,346.19,15.21,353.48,19.41,15,1136686.58,-1600-01-16 01:56:45.210,94.93,7.50
β Peg,N25-PBha,25,other,Scheat,HIP 113881,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,345.94,28.08,359.37,31.14,10,1136681.58,-1600-01-11 01:57:28.497,80.29,7.22
γ Peg,N26-UBha,26,other,Algenib,HIP 1067,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,3.31,15.18,9.15,12.60,36,1136707.57,-1600-02-06 01:45:34.269,98.05,7.59
α And,N26-UBha,26,rep,Alpheratz,HIP 677,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,2.10,29.09,14.31,25.68,27,1136698.58,-1600-01-28 01:51:42.204,81.92,7.35
ε Psc,N27-Rev,27,rep,epsPsc,HIP 4906,रेवती,Revatī,Pūṣan,15.74,7.89,17.52,1.09,58,1136729.56,-1600-02-28 01:24:17.315,107.59,7.44
μ Psc,N27-Rev,27,rep,muPsc,HIP 7007,रेवती,Revatī,Pūṣan,22.55,6.14,23.13,-3.06,70,1136741.55,-1600-03-11 01:09:51.583,109.91,7.54
ζ Psc,N27-Rev,27,rep,Revati,HIP 7007,रेवती,Revatī,Pūṣan,22.55,6.14,23.13,-3.06,70,1136741.55,-1600-03-11 01:09:51.583,109.91,7.54
