year	event	date	sun_lon	obj_lon	sun_lon_dms	obj_lon_dms	obj_rise_set	sun_rise_set	delta_rise_set	age	mag	sun_alt	obj_lat	az_diff	lon_diff	sun_sz	obj_az
-1269	evening_last_visibility	-1269-11-10	217.23	231.48	217° 14'	231° 29'	18:06	17:42	0:23h	-9d 10h	-3.7	-5° 52'	-2° 24'	-12° 18'	14° 15'	77° 01'	64° 43'
-1269	morning_first_visibility	-1269-11-25	232.05	223.22	232° 03'	223° 13'	6:23	6:54	-0:31h	5d 03h	-3.3	-7° 12'	1° 12'	0° 58'	-8° 51'	287° 21'	288° 19'
-1268	evening_first_visibility	-1268-10-21	197.62	210.28	197° 37'	210° 17'	18:25	18:00	0:24h	50d 06h	-3.4	-6° 01'	0° 00'	-10° 01'	12° 40'	85° 20'	75° 20'
-1268	morning_last_visibility	-1268-08-02	117.28	109.30	117° 17'	109° 18'	5:01	5:28	-0:27h	-30d 07h	-3.4	-6° 01'	1° 06'	2° 14'	-7° 59'	241° 27'	243° 41'
-1267	evening_last_visibility	-1267-06-16	72.38	81.85	72° 23'	81° 51'	19:37	19:13	0:23h	-6d 12h	-3.3	-5° 18'	-2° 59'	-7° 05'	9° 28'	120° 01'	112° 56'
-1267	morning_first_visibility	-1267-07-02	87.08	72.97	87° 05'	72° 58'	4:46	5:13	-0:27h	8d 21h	-3.5	-5° 55'	-5° 49'	13° 14'	-14° 07'	238° 06'	251° 20'
-1266	evening_first_visibility	-1266-05-14	40.72	48.60	40° 43'	48° 36'	19:19	18:54	0:25h	28d 09h	-3.4	-6° 02'	0° 18'	-1° 44'	7° 53'	111° 33'	109° 49'
-1266	morning_last_visibility	-1266-02-24	324.15	310.83	324° 09'	310° 50'	6:44	7:09	-0:24h	-51d 03h	-3.3	-6° 04'	-1° 20'	10° 55'	-13° 19'	282° 20'	293° 15'
-1265	evening_first_visibility	-1265-12-28	266.20	276.18	266° 12'	276° 11'	17:59	17:32	0:26h	42d 00h	-3.4	-6° 07'	-1° 17'	-6° 21'	10° 00'	66° 01'	59° 39'
-1265	evening_last_visibility	-1265-01-28	297.65	302.93	297° 39'	302° 56'	18:17	17:52	0:24h	-3d 15h	-3.3	-5° 45'	7° 59'	5° 55'	5° 17'	69° 03'	74° 58'
-1265	morning_first_visibility	-1265-02-03	303.17	299.47	303° 10'	299° 28'	6:55	7:24	-0:29h	1d 21h	-3.3	-6° 43'	8° 23'	-3° 37'	-3° 42'	289° 00'	285° 23'
-1265	morning_last_visibility	-1265-10-15	190.25	182.50	190° 15'	182° 30'	5:56	6:20	-0:24h	-32d 12h	-3.4	-6° 06'	1° 12'	-0° 21'	-7° 45'	271° 15'	270° 55'
-1264	evening_last_visibility	-1264-08-19	134.55	155.12	134° 33'	155° 07'	19:30	19:09	0:21h	-14d 07h	-3.9	-5° 13'	-7° 55'	-20° 54'	20° 34'	112° 45'	91° 51'
-1264	morning_first_visibility	-1264-09-09	154.78	144.53	154° 47'	144° 32'	5:27	5:55	-0:28h	6d 03h	-3.5	-6° 49'	-8° 10'	9° 52'	-10° 14'	254° 22'	264° 15'
-1263	evening_first_visibility	-1263-07-26	110.87	120.43	110° 52'	120° 26'	19:49	19:21	0:27h	34d 07h	-3.4	-6° 08'	1° 25'	-5° 43'	9° 34'	120° 03'	114° 19'
-1263	morning_last_visibility	-1263-04-29	26.15	11.37	26° 09'	11° 22'	5:25	5:50	-0:25h	-54d 07h	-3.3	-6° 04'	-1° 14'	12° 37'	-14° 47'	254° 27'	267° 03'
-1262	evening_last_visibility	-1262-04-07	5.42	12.10	5° 25'	12° 06'	18:57	18:35	0:22h	-4d 15h	-3.2	-5° 35'	5° 52'	5° 03'	6° 41'	95° 47'	100° 50'
-1262	morning_first_visibility	-1262-04-17	14.47	6.27	14° 28'	6° 16'	5:39	6:05	-0:25h	4d 20h	-3.2	-6° 23'	4° 08'	4° 13'	-8° 12'	259° 31'	263° 44'
-1262	morning_last_visibility	-1262-12-26	263.97	254.90	263° 58'	254° 54'	6:52	7:20	-0:27h	-37d 19h	-3.4	-6° 10'	-0° 22'	4° 30'	-9° 04'	293° 52'	298° 22'
-1261	evening_first_visibility	-1261-03-05	333.23	341.35	333° 14'	341° 21'	18:43	18:18	0:25h	31d 17h	-3.4	-6° 09'	-1° 10'	-2° 16'	8° 07'	81° 25'	79° 08'
-1261	evening_last_visibility	-1261-11-07	214.22	229.20	214° 13'	229° 12'	18:08	17:45	0:23h	-9d 22h	-3.7	-5° 49'	-2° 53'	-13° 15'	14° 59'	78° 10'	64° 55'
-1261	morning_first_visibility	-1261-11-22	229.05	221.00	229° 03'	221° 00'	6:25	6:51	-0:26h	4d 15h	-3.3	-6° 19'	0° 41'	1° 12'	-8° 03'	286° 54'	288° 06'
-1260	evening_first_visibility	-1260-10-19	195.63	208.43	195° 38'	208° 26'	18:27	18:03	0:24h	50d 15h	-3.4	-6° 05'	0° 03'	-10° 07'	12° 48'	86° 16'	76° 09'
-1260	morning_last_visibility	-1260-07-30	114.42	106.25	114° 25'	106° 15'	4:58	5:26	-0:27h	-30d 22h	-3.4	-6° 07'	1° 02'	2° 33'	-8° 11'	240° 42'	243° 15'
-1259	evening_last_visibility	-1259-06-13	69.57	80.02	69° 34'	80° 01'	19:41	19:12	0:29h	-7d 03h	-3.3	-6° 28'	-2° 31'	-7° 02'	10° 27'	120° 23'	113° 21'
-1259	morning_first_visibility	-1259-06-30	85.23	70.63	85° 14'	70° 38'	4:44	5:13	-0:28h	9d 06h	-3.5	-6° 12'	-5° 37'	13° 30'	-14° 36'	237° 57'	251° 28'
-1258	evening_first_visibility	-1258-05-12	38.87	46.82	38° 52'	46° 49'	19:19	18:53	0:25h	28d 16h	-3.4	-6° 06'	0° 15'	-1° 42'	7° 56'	110° 52'	109° 10'
-1258	morning_last_visibility	-1258-02-22	322.23	309.02	322° 14'	309° 01'	6:45	7:11	-0:25h	-50d 21h	-3.3	-6° 05'	-1° 19'	10° 46'	-13° 13'	283° 03'	293° 50'
-1257	evening_first_visibility	-1257-12-26	264.22	274.35	264° 13'	274° 21'	17:58	17:31	0:27h	42d 15h	-3.4	-6° 09'	-1° 16'	-6° 31'	10° 08'	66° 07'	59° 36'
-1257	evening_last_visibility	-1257-01-26	295.70	300.38	295° 42'	300° 23'	18:13	17:51	0:22h	-3d 06h	-3.3	-5° 16'	7° 54'	5° 55'	4° 41'	68° 20'	74° 15'
-1257	morning_first_visibility	-1257-01-31	300.22	297.53	300° 13'	297° 32'	7:00	7:25	-0:25h	1d 06h	-3.2	-5° 51'	8° 17'	-4° 18'	-2° 42'	290° 15'	285° 58'
-1257	morning_last_visibility	-1257-10-12	187.27	179.38	187° 16'	179° 23'	5:53	6:18	-0:24h	-32d 21h	-3.4	-6° 13'	1° 14'	-0° 23'	-7° 53'	269° 48'	269° 25'
-1256	evening_last_visibility	-1256-08-16	131.65	152.90	131° 39'	152° 54'	19:36	19:11	0:25h	-14d 21h	-3.9	-5° 54'	-7° 45'	-21° 16'	21° 14'	114° 14'	92° 58'
-1256	morning_first_visibility	-1256-09-06	151.83	142.45	151° 50'	142° 27'	5:29	5:53	-0:24h	5d 13h	-3.5	-5° 51'	-8° 21'	9° 58'	-9° 23'	253° 43'	263° 41'
-1255	evening_first_visibility	-1255-07-23	108.02	117.38	108° 01'	117° 23'	19:49	19:22	0:27h	33d 12h	-3.4	-6° 05'	1° 25'	-5° 27'	9° 22'	120° 31'	115° 04'
-1255	morning_last_visibility	-1255-04-26	23.35	8.37	23° 21'	8° 22'	5:28	5:53	-0:25h	-55d 02h	-3.3	-6° 06'	-1° 17'	12° 50'	-14° 59'	255° 40'	268° 30'
-1254	evening_last_visibility	-1254-04-04	2.60	10.37	2° 36'	10° 22'	19:01	18:34	0:27h	-5d 08h	-3.3	-6° 42'	6° 10'	5° 15'	7° 47'	95° 07'	100° 22'
-1254	morning_first_visibility	-1254-04-14	11.65	4.52	11° 39'	4° 31'	5:44	6:09	-0:24h	4d 03h	-3.1	-6° 06'	4° 34'	3° 06'	-7° 08'	260° 59'	264° 06'
-1254	morning_last_visibility	-1254-12-24	262.00	253.07	262° 00'	253° 04'	6:51	7:19	-0:27h	-37d 07h	-3.4	-6° 08'	-0° 20'	4° 17'	-8° 56'	293° 45'	298° 03'
-1253	evening_first_visibility	-1253-03-03	331.33	339.55	331° 20'	339° 33'	18:42	18:17	0:25h	32d 05h	-3.4	-6° 13'	-1° 12'	-2° 21'	8° 13'	80° 40'	78° 18'
-1253	evening_last_visibility	-1253-11-04	211.22	226.90	211° 13'	226° 54'	18:10	17:47	0:23h	-10d 10h	-3.8	-5° 46'	-3° 21'	-14° 11'	15° 41'	79° 21'	65° 11'
-1253	morning_first_visibility	-1253-11-20	227.05	218.23	227° 03'	218° 14'	6:19	6:49	-0:29h	5d 02h	-3.3	-7° 02'	0° 24'	1° 31'	-8° 49'	285° 51'	287° 22'
