gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
δ Sgr,N20-PAsh,20,other,Kaus Media,HIP 89931,पूर्वाषाढा,P Aṣāḍhā,Ap,275.25,-29.83,274.57,-6.47,9,2459954.58,2023-01-10 01:49:53.988,129.67,7.07
ε Sgr,N20-PAsh,20,other,Kaus Australis,HIP 90185,पूर्वाषाढा,P Aṣāḍhā,Ap,276.04,-34.38,275.07,-11.05,15,2459960.58,2023-01-16 01:49:32.345,135.94,7.35
τ Sgr,N21-UAsh,21,rep,Namalsadirah II,HIP 93864,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,286.74,-27.67,284.82,-5.09,19,2459964.58,2023-01-20 01:48:49.058,126.90,7.12
ζ Sgr,N21-UAsh,21,other,Ascella,HIP 93506,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,285.65,-29.88,283.63,-7.18,20,2459965.58,2023-01-21 01:48:27.415,129.74,7.11
σ Sgr,N21-UAsh,21,other,Nunki,HIP 92855,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,283.82,-26.30,282.38,-3.45,15,2459960.58,2023-01-16 01:49:32.345,125.35,7.35
φ Sgr,N21-UAsh,21,other,Namalsadirah I,HIP 92041,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,281.41,-26.99,280.17,-3.95,13,2459958.58,2023-01-14 01:49:53.988,126.20,7.30
α Aql,N22-Shr,22,rep,Altair,HIP 97649,श्रवण,Śravaṇa,Viṣṇu,297.70,8.87,301.77,29.30,7,2459952.58,2023-01-08 01:49:53.988,84.00,7.72
β Aql,N22-Shr,22,other,Alshain,HIP 98036,श्रवण,Śravaṇa,Viṣṇu,298.83,6.41,302.41,26.66,9,2459954.58,2023-01-10 01:49:53.988,86.59,7.30
γ Aql,N22-Shr,22,other,Tarazed,HIP 97278,श्रवण,Śravaṇa,Viṣṇu,296.56,10.61,300.93,31.24,5,2459950.58,2023-01-06 01:49:32.345,82.03,7.73
β Del,N23-Dha,23,rep,Rotanev,HIP 101769,धनिष्ठा,Dhaniṣṭhā,Vasu,309.39,14.60,316.33,31.92,15,2459960.58,2023-01-16 01:49:32.345,77.09,7.04
α Del,N23-Dha,23,other,Sualocin,HIP 101958,धनिष्ठा,Dhaniṣṭhā,Vasu,309.91,15.91,317.37,33.02,15,2459960.58,2023-01-16 01:49:32.345,75.68,7.21
γ2 Del,N23-Dha,23,other,Al Salib,HIP 102532,धनिष्ठा,Dhaniṣṭhā,Vasu,311.66,16.12,319.36,32.70,17,2459962.58,2023-01-18 01:49:10.701,75.55,7.42
δ Del,N23-Dha,23,other,Al Ukud,HIP 102281,धनिष्ठा,Dhaniṣṭhā,Vasu,310.86,15.07,318.11,31.95,17,2459962.58,2023-01-18 01:49:10.701,76.85,7.61
α Aqr,N23-Dha,23,other,Sadalmelik,HIP 109074,धनिष्ठा,Dhaniṣṭhā,Vasu,331.45,-0.32,333.35,10.66,51,2459996.56,2023-02-21 01:28:58.677,94.20,7.21
β Aqr,N23-Dha,23,other,Sadaldud,HIP 106278,धनिष्ठा,Dhaniṣṭhā,Vasu,322.89,-5.57,323.39,8.62,44,2459989.57,2023-02-14 01:35:06.613,100.39,7.40
γ Aqr,N23-Dha,23,other,Sadachbia,HIP 110395,धनिष्ठा,Dhaniṣṭhā,Vasu,335.41,-1.39,336.71,8.24,44,2459989.57,2023-02-14 01:35:06.613,100.39,7.40
ζ1 Aqr,N23-Dha,23,other,zetAqr,HR 8559,धनिष्ठा,Dhaniṣṭhā,Vasu,337.21,-0.02,338.90,8.85,44,2459989.57,2023-02-14 01:35:06.613,100.39,7.40
η Aqr,N23-Dha,23,other,etaAqr,HIP 111497,धनिष्ठा,Dhaniṣṭhā,Vasu,338.84,-0.12,340.40,8.15,44,2459989.57,2023-02-14 01:35:06.613,100.39,7.40
λ Aqr,N24-Sha,24,rep,Hydor,HIP 112961,शतभिषक्,Śatabhiṣak,Varuṇa,343.15,-7.58,341.57,-0.39,73,2460018.55,2023-03-15 01:05:31.864,102.58,7.19
α Peg,N25-PBha,25,rep,Markab,HIP 113963,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,346.19,15.21,353.48,19.41,60,2460005.56,2023-03-02 01:19:57.595,76.56,7.44
β Peg,N25-PBha,25,other,Scheat,HIP 113881,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,345.94,28.08,359.37,31.14,49,2459994.56,2023-02-19 01:30:46.894,61.65,7.06
γ Peg,N26-UBha,26,other,Algenib,HIP 1067,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,3.31,15.18,9.15,12.60,84,2460029.54,2023-03-26 00:52:54.349,76.46,7.21
α And,N26-UBha,26,rep,Alpheratz,HIP 677,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,2.10,29.09,14.31,25.68,71,2460016.55,2023-03-13 01:08:03.367,60.67,7.40
ε Psc,N27-Rev,27,rep,epsPsc,HIP 4906,रेवती,Revatī,Pūṣan,15.74,7.89,17.52,1.09,107,2460052.52,2023-04-18 00:27:17.675,84.72,7.11
μ Psc,N27-Rev,27,rep,muPsc,HIP 7007,रेवती,Revatī,Pūṣan,22.55,6.14,23.13,-3.06,118,2460063.51,2023-04-29 00:16:50.020,86.95,7.52
ζ Psc,N27-Rev,27,rep,Revati,HIP 7007,रेवती,Revatī,Pūṣan,22.55,6.14,23.13,-3.06,111,2460056.52,2023-04-22 00:23:19.599,85.13,7.18
