local,jd,alt,az,raJ2000,decJ2000,lon,lat,year,month,daynum,daynum_utryn,daynum_dksyn
-2050-06-09T05:16:10.341,972471.4903974616,0.025146472543408918,63.5304704943,133.31818332713004,17.968615513022087,74.65795657066136,0.00591761446489497,-2050,6,160.0,172.0,351.0
-2050-06-10T05:15:48.697,972472.4901469606,-0.028648346386140125,63.3705746284799,134.28495508555974,17.699301120397028,75.61690098264825,0.005805628251253233,-2050,6,161.0,173.0,352.0
-2050-06-11T05:15:48.697,972473.4901469606,-0.016741540798236643,63.25867349401652,135.24951673086784,17.42507099794912,76.57654507874602,0.005690763698464723,-2050,6,162.0,174.0,353.0
-2050-06-12T05:15:48.697,972474.4901469606,-0.009915722371211874,63.151605382590574,136.2116368685621,17.14607319295027,77.53666086515247,0.005571572577485206,-2050,6,163.0,175.0,354.0
-2050-06-13T05:15:48.697,972475.4901469606,-0.008130248787640517,63.04945384446837,137.17132764845775,16.862390368889145,78.4972589236772,0.005446733216752228,-2050,6,164.0,176.0,355.0
-2050-06-14T05:15:48.697,972476.4901469606,-0.011339705333814669,62.95230177557942,138.1286022965051,16.574106677470567,79.458347870171,0.0053151060442435585,-2050,6,165.0,177.0,356.0
-2050-06-15T05:15:48.697,972477.4901469606,-0.019493834577667103,62.86023127181647,139.0834750752724,16.281307797659977,80.4199338779788,0.005175763397288902,-2050,6,166.0,178.0,357.0
-2050-06-16T05:15:48.697,972478.4901469606,-0.03253739247951058,62.77332355953068,140.0359611751029,15.98408099945691,81.38202000090453,0.005028023254599735,-2050,6,167.0,179.0,358.0
-2050-06-17T05:16:10.341,972479.4903974616,0.019901557556835134,62.73491800380684,140.9863143113479,15.682439135799147,82.34484652721588,0.004871447200909849,-2050,6,168.0,180.0,359.0
-2050-06-18T05:16:10.341,972480.4903974616,-0.0027843158687509734,62.65859195942716,141.93407527158072,15.376623951770458,83.30792553884034,0.004706041114292645,-2050,6,169.0,181.0,360.0
-2050-06-19T05:16:10.341,972481.4903974616,-0.030160366507307662,62.58767071408161,142.8795000695537,15.066652785670891,84.27148728446983,0.004532059941331983,-2050,6,170.0,182.0,361.0
-2050-06-20T05:16:31.984,972482.4906479625,0.0080481955000996,62.565503291492895,143.82284365212996,14.752540410633088,85.23575781231429,0.0043501453025996005,-2050,6,171.0,183.0,362.0
-2050-06-21T05:16:31.984,972483.4906479625,-0.028521653743781163,62.50565081274214,144.7636543747032,14.43453949797977,86.20023565010808,0.004161479560815279,-2050,6,172.0,184.0,363.0
-2050-06-22T05:16:53.627,972484.4908984636,0.000605713450983655,62.49471681689226,145.70242710526307,14.11258713897973,87.16538534259152,0.003967439596427258,-2050,6,173.0,185.0,364.0
-2050-06-23T05:17:15.271,972485.4911489646,0.025320626089279884,62.48951342062014,146.63895299621183,13.786859517269063,88.13094983999065,0.0037698644667200306,-2050,6,174.0,186.0,365.0
-2050-06-24T05:17:15.271,972486.4911489646,-0.02443400370360285,62.44686733029129,147.57302998932937,13.45753666051393,89.09667767389843,0.0035708250029980494,-2050,6,175.0,187.0,366.0
-2050-06-25T05:17:36.914,972487.4913994656,-0.00827464108393097,62.45336621088571,148.50516311568177,13.124550150156331,90.06305069902477,0.0033723513965785335,-2050,6,176.0,188.0,1.0
-2050-06-26T05:17:58.557,972488.4916499666,0.0037395779847736233,62.465814247673016,149.43516128074555,12.788077606274719,91.0298325238466,0.003176597436584863,-2050,6,177.0,189.0,2.0
-2050-06-27T05:18:20.200,972489.4919004675,0.011697042737537801,62.48427302401822,150.36307421546468,12.44821313652322,91.99703469797096,0.0029854984503322425,-2050,6,178.0,190.0,3.0
-2050-06-28T05:18:41.844,972490.4921509686,0.015684557973683427,62.50879767975767,151.28895838080592,12.105049018742438,92.964672786087,0.0028006825686218853,-2050,6,179.0,191.0,4.0
-2050-06-29T05:19:03.487,972491.4924014696,0.015786993407531015,62.53943755197326,152.2128768031362,11.75867548810079,93.93276427567775,0.0026233481605648728,-2050,6,180.0,192.0,5.0
-2050-06-30T05:19:25.130,972492.4926519706,0.012087063440496062,62.57623723601898,153.13489853551795,11.409180709542342,94.90132695715096,0.0024541711666081394,-2050,6,181.0,193.0,6.0
-2050-07-01T05:19:46.774,972493.4929024716,0.004665363842298994,62.61923784911567,154.05509774308794,11.05665096240744,95.87037806643262,0.0022932564196111774,-2050,7,182.0,194.0,7.0
-2050-07-02T05:20:08.417,972494.4931529727,-0.006399238176038051,62.668478232148296,154.97355248560268,10.701171029615645,96.83993421084895,0.0021401430035633312,-2050,7,183.0,195.0,8.0
-2050-07-03T05:20:30.060,972495.4934034736,-0.021028844737237484,62.72399584785981,155.89034334536169,10.342824741512654,97.81001181221667,0.001993864981972202,-2050,7,184.0,196.0,9.0
-2050-07-04T05:21:13.347,972496.4939044756,0.031208104917978794,62.82910431146374,156.80578111870415,9.98160480181898,98.78087079396836,0.001853022922193729,-2050,7,185.0,197.0,10.0
-2050-07-05T05:21:34.990,972497.4941549766,0.009725610278553641,62.897300225444816,157.71948931834564,9.617775824311964,99.7520423844498,0.0017160558434855325,-2050,7,186.0,198.0,11.0
