jd	date	yr	season	rtu	sun_lon	sun_naks	moon_lat	moon_lon	moon_naks	moon_phase	moon_sun_diff	sun_न	moon_न
1695300.75	-71-06-23	-71	2	R2-grīṣma	89.55	N07-Pun/β Gem	-4.04	84.75	N07-Pun/β Gem	0	4	N07-Pun	N07-Pun
1695316.25	-71-07-08	-71	3	R3-varṣā	104.37	N09-Asl/ρ Hya	4.85	285.90	N23-Dha/β Del	1	178	N09-Asl	N23-Dha
1695330.75	-71-07-23	-71	3	R3-varṣā	118.31	N10-Mag/ζ Leo	-5.00	123.33	N10-Mag/α Leo	0	5	N10-Mag	N10-Mag
1695345.25	-71-08-06	-71	3	R3-varṣā	132.35	N11-PPal/δ Leo	4.94	307.01	N24-Sha/λ Aqr	1	174	N11-PPal	N24-Sha
1695359.75	-71-08-21	-71	3	R3-varṣā	146.49	N12-UPal/β Leo	-4.41	146.33	N12-UPal/β Leo	0	0	N12-UPal	N12-UPal
1695375.25	-71-09-05	-71	4	R4-śarat	161.75	N13-Has/γ Crv	3.59	341.29	N26-UBha/γ Peg	1	179	N13-Has	N26-UBha
1695388.75	-71-09-19	-71	4	R4-śarat	175.15	N14-Chi/α Vir	-3.09	168.87	N13-Has/β Crv	0	6	N14-Chi	N13-Has
1695404.25	-71-10-04	-71	4	R4-śarat	190.67	N16-Vis/α1 Lib	1.97	3.17	N01-Ash/γ Ari	1	172	N16-Vis	N01-Ash
1695418.75	-71-10-19	-71	4	R4-śarat	205.29	N17-Anu/δ Sco	-0.13	203.78	N16-Vis/α2 Lib	0	1	N17-Anu	N16-Vis
1695434.25	-71-11-03	-71	5	R5-hemanta	221.02	N18-Jye/α Sco	-1.31	39.63	N04-Roh/ε Tau	1	178	N18-Jye	N04-Roh
1695448.75	-71-11-18	-71	5	R5-hemanta	235.80	N19-Mul/λ Sco	2.78	237.19	N19-Mul/θ Sco	0	1	N19-Mul	N19-Mul
1695464.25	-71-12-03	-71	5	R5-hemanta	251.63	N21-UAsh/φ Sgr	-4.14	77.59	N07-Pun/α Gem	1	174	N21-UAsh	N07-Pun
1695478.75	-71-12-18	-71	5	R5-hemanta	266.42	N22-Shr/α Aql	4.67	269.88	N22-Shr/α Aql	0	3	N22-Shr	N22-Shr
1695493.25	-70-01-01	-70	6	R6-śiśira	281.17	N23-Dha/β Del	-4.96	100.91	N09-Asl/δ Hya	1	179	N23-Dha	N09-Asl
1695507.75	-70-01-16	-70	6	R6-śiśira	295.85	N23-Dha/γ2 Del	5.01	290.62	N23-Dha/γ2 Del	0	5	N23-Dha	N23-Dha
1695522.25	-70-01-30	-70	6	R6-śiśira	310.43	N24-Sha/λ Aqr	-4.85	124.31	N10-Mag/α Leo	1	173	N24-Sha	N10-Mag
1695537.75	-70-02-15	-70	6	R6-śiśira	325.89	N25-PBha/α Peg	4.07	323.54	N25-PBha/α Peg	0	2	N25-PBha	N25-PBha
1695552.25	-70-03-01	-70	1	R1-vasanta	340.23	N26-UBha/γ Peg	-2.86	162.24	N13-Has/γ Crv	1	177	N26-UBha	N13-Has
1695567.75	-70-03-17	-70	1	R1-vasanta	355.41	N27-Rev/ε Psc	1.62	357.40	N27-Rev/ε Psc	0	1	N27-Rev	N27-Rev
1695581.25	-70-03-30	-70	1	R1-vasanta	8.53	N01-Ash/α Ari	-0.97	184.85	N15-Swa/α Boo	1	176	N01-Ash	N15-Swa
1695596.75	-70-04-15	-70	1	R1-vasanta	23.48	N02-Bha/* 39 Ari	-0.34	19.23	N02-Bha/* 41 Ari	0	4	N02-Bha	N02-Bha
1695611.25	-70-04-29	-70	2	R2-grīṣma	37.38	N04-Roh/γ Tau	2.16	220.15	N18-Jye/α Sco	1	177	N04-Roh	N18-Jye
1695626.75	-70-05-15	-70	2	R2-grīṣma	52.18	N05-Mrg/γ Ori	-3.36	55.72	N05-Mrg/λ Ori	0	3	N05-Mrg	N05-Mrg
1695640.25	-70-05-28	-70	2	R2-grīṣma	65.03	N05-Mrg/α Ori	3.71	241.63	N20-PAsh/γ Sgr	1	176	N05-Mrg	N20-PAsh
1695655.75	-70-06-13	-70	2	R2-grīṣma	79.79	N07-Pun/α Gem	-4.60	79.02	N07-Pun/α Gem	0	0	N07-Pun	N07-Pun
1695670.25	-70-06-27	-70	3	R3-varṣā	93.62	N08-Pus/δ Cnc	4.97	274.90	N22-Shr/β Aql	1	178	N08-Pus	N22-Shr
1695684.75	-70-07-12	-70	3	R3-varṣā	107.50	N09-Asl/ζ Hya	-5.03	102.61	N09-Asl/σ Hya	0	4	N09-Asl	N09-Asl
1695700.25	-70-07-27	-70	3	R3-varṣā	122.43	N10-Mag/α Leo	4.43	307.61	N24-Sha/λ Aqr	1	174	N10-Mag	N24-Sha
1695714.75	-70-08-11	-70	3	R3-varṣā	136.49	N11-PPal/θ Leo	-3.73	141.49	N12-UPal/* 93 Leo	0	4	N11-PPal	N12-UPal
1695729.25	-70-08-25	-70	4	R4-śarat	150.67	N12-UPal/β Leo	3.23	328.39	N25-PBha/β Peg	1	177	N12-UPal	N25-PBha
1695743.75	-70-09-09	-70	4	R4-śarat	164.97	N13-Has/δ Crv	-1.97	164.70	N13-Has/δ Crv	0	0	N13-Has	N13-Has
1695759.25	-70-09-24	-70	4	R4-śarat	180.40	N15-Swa/α Boo	0.45	1.58	N01-Ash/γ Ari	1	178	N15-Swa	N01-Ash
1695772.75	-70-10-08	-70	4	R4-śarat	193.94	N16-Vis/α1 Lib	0.09	187.56	N16-Vis/α1 Lib	0	6	N16-Vis	N16-Vis
1695788.25	-70-10-23	-70	4	R4-śarat	209.61	N17-Anu/δ Sco	-1.47	22.88	N02-Bha/* 39 Ari	1	173	N17-Anu	N02-Bha
1695802.75	-70-11-07	-70	5	R5-hemanta	224.34	N18-Jye/ε Sco	3.14	223.68	N18-Jye/α Sco	0	0	N18-Jye	N18-Jye
1695818.25	-70-11-22	-70	5	R5-hemanta	240.15	N19-Mul/ι1 Sco	-4.05	58.23	N05-Mrg/α Ori	1	178	N19-Mul	N05-Mrg
1695832.75	-70-12-07	-70	5	R5-hemanta	254.95	N21-UAsh/ζ Sgr	4.82	258.25	N21-UAsh/τ Sgr	0	3	N21-UAsh	N21-UAsh
1695848.25	-70-12-22	-70	6	R6-śiśira	270.76	N22-Shr/α Aql	-5.00	95.46	N08-Pus/δ Cnc	1	175	N22-Shr	N08-Pus
1695861.75	-69-01-05	-69	6	R6-śiśira	284.47	N23-Dha/β Del	4.95	279.47	N22-Shr/β Aql	0	5	N23-Dha	N22-Shr
1695877.25	-69-01-20	-69	6	R6-śiśira	300.14	N23-Dha/γ2 Del	-4.43	118.67	N10-Mag/ζ Leo	1	178	N23-Dha	N10-Mag
1695891.75	-69-02-04	-69	6	R6-śiśira	314.69	N24-Sha/λ Aqr	3.70	312.35	N24-Sha/λ Aqr	0	2	N24-Sha	N24-Sha
1695907.25	-69-02-19	-69	1	R1-vasanta	330.11	N25-PBha/β Peg	-1.79	157.24	N13-Has/γ Crv	1	172	N25-PBha	N13-Has
1695921.75	-69-03-06	-69	1	R1-vasanta	344.41	N26-UBha/α And	1.12	344.82	N26-UBha/α And	0	0	N26-UBha	N26-UBha
1695936.25	-69-03-20	-69	1	R1-vasanta	358.59	N27-Rev/ε Psc	0.33	180.44	N15-Swa/α Boo	1	178	N27-Rev	N15-Swa
1695951.75	-69-04-05	-69	1	R1-vasanta	13.62	N02-Bha/* 35 Ari	-1.88	17.77	N02-Bha/* 35 Ari	0	4	N02-Bha	N02-Bha
1695965.25	-69-04-18	-69	1	R1-vasanta	26.61	N03-Kri/* 17 Tau	2.35	203.53	N16-Vis/α2 Lib	1	176	N03-Kri	N16-Vis
1695980.75	-69-05-04	-69	2	R2-grīṣma	41.45	N04-Roh/α Tau	-3.49	39.19	N04-Roh/θ2 Tau	0	2	N04-Roh	N04-Roh
1695995.25	-69-05-18	-69	2	R2-grīṣma	55.28	N05-Mrg/λ Ori	4.56	240.24	N19-Mul/ι1 Sco	1	175	N05-Mrg	N19-Mul
1696010.75	-69-06-03	-69	2	R2-grīṣma	70.04	N06-Ard/γ Gem	-4.93	74.67	N06-Ard/γ Gem	0	4	N06-Ard	N06-Ard
1696024.25	-69-06-16	-69	2	R2-grīṣma	82.89	N07-Pun/α Gem	4.98	262.34	N21-UAsh/τ Sgr	1	179	N07-Pun	N21-UAsh
1696039.75	-69-07-02	-69	3	R3-varṣā	97.69	N08-Pus/δ Cnc	-4.82	97.57	N08-Pus/δ Cnc	0	0	N08-Pus	N08-Pus
1696054.25	-69-07-16	-69	3	R3-varṣā	111.59	N10-Mag/ε Leo	4.09	296.45	N23-Dha/γ2 Del	1	175	N10-Mag	N23-Dha
1696068.75	-69-07-31	-69	3	R3-varṣā	125.58	N10-Mag/α Leo	-3.88	120.71	N10-Mag/γ Leo	0	4	N10-Mag	N10-Mag
1696083.25	-69-08-14	-69	3	R3-varṣā	139.67	N12-UPal/* 93 Leo	2.73	317.36	N24-Sha/λ Aqr	1	177	N12-UPal	N24-Sha
1696098.75	-69-08-30	-69	4	R4-śarat	154.86	N13-Has/γ Crv	-0.88	159.10	N13-Has/γ Crv	0	4	N13-Has	N13-Has
1696113.25	-69-09-13	-69	4	R4-śarat	169.20	N13-Has/β Crv	-0.14	349.82	N27-Rev/ε Psc	1	179	N13-Has	N27-Rev
1696127.75	-69-09-28	-69	4	R4-śarat	183.66	N15-Swa/α Boo	1.28	182.38	N15-Swa/α Boo	0	1	N15-Swa	N15-Swa
1696143.25	-69-10-13	-69	4	R4-śarat	199.24	N16-Vis/α2 Lib	-2.96	22.41	N02-Bha/* 39 Ari	1	176	N16-Vis	N02-Bha
1696157.75	-69-10-28	-69	5	R5-hemanta	213.93	N17-Anu/δ Sco	4.11	220.34	N18-Jye/α Sco	0	6	N17-Anu	N18-Jye
1696172.25	-69-11-11	-69	5	R5-hemanta	228.68	N19-Mul/ζ2 Sco	-4.25	43.42	N04-Roh/α Tau	1	174	N19-Mul	N04-Roh
1696186.75	-69-11-26	-69	5	R5-hemanta	243.47	N20-PAsh/γ Sgr	4.90	242.99	N20-PAsh/γ Sgr	0	0	N20-PAsh	N20-PAsh
1696202.25	-69-12-11	-69	5	R5-hemanta	259.30	N21-UAsh/τ Sgr	-4.96	77.82	N07-Pun/α Gem	1	178	N21-UAsh	N07-Pun
1696216.75	-69-12-26	-69	6	R6-śiśira	274.07	N22-Shr/β Aql	4.45	278.81	N22-Shr/β Aql	0	4	N22-Shr	N22-Shr
1696232.25	-68-01-10	-68	6	R6-śiśira	289.80	N23-Dha/δ Del	-3.69	113.86	N10-Mag/μ Leo	1	175	N23-Dha	N10-Mag
1696245.75	-68-01-24	-68	6	R6-śiśira	303.42	N24-Sha/λ Aqr	3.26	300.39	N23-Dha/γ2 Del	0	3	N24-Sha	N23-Dha
1696261.25	-68-02-08	-68	6	R6-śiśira	318.94	N25-PBha/α Peg	-2.01	136.61	N11-PPal/θ Leo	1	177	N25-PBha	N11-PPal
1696275.75	-68-02-23	-68	1	R1-vasanta	333.34	N25-PBha/β Peg	0.50	333.73	N25-PBha/β Peg	0	0	N25-PBha	N25-PBha
1696291.25	-68-03-09	-68	1	R1-vasanta	348.59	N27-Rev/ε Psc	1.46	174.72	N14-Chi/α Vir	1	173	N27-Rev	N14-Chi
1696305.75	-68-03-24	-68	1	R1-vasanta	2.73	N01-Ash/γ Ari	-2.43	6.26	N01-Ash/β Ari	0	3	N01-Ash	N01-Ash
1696320.25	-68-04-07	-68	1	R1-vasanta	16.76	N02-Bha/* 35 Ari	3.35	198.19	N16-Vis/α2 Lib	1	178	N02-Bha	N16-Vis
1696334.75	-68-04-22	-68	2	R2-grīṣma	30.70	N03-Kri/* 17 Tau	-3.88	26.94	N03-Kri/* 17 Tau	0	3	N03-Kri	N03-Kri
1696349.25	-68-05-06	-68	2	R2-grīṣma	44.57	N04-Roh/α Tau	4.60	221.76	N18-Jye/α Sco	1	177	N04-Roh	N18-Jye
1696364.75	-68-05-22	-68	2	R2-grīṣma	59.34	N05-Mrg/α Ori	-4.98	60.05	N05-Mrg/α Ori	0	0	N05-Mrg	N05-Mrg
1696379.25	-68-06-05	-68	2	R2-grīṣma	73.14	N06-Ard/γ Gem	4.80	259.73	N21-UAsh/τ Sgr	1	173	N06-Ard	N21-UAsh
1696393.75	-68-06-20	-68	2	R2-grīṣma	86.95	N07-Pun/β Gem	-4.74	81.51	N07-Pun/α Gem	0	5	N07-Pun	N07-Pun
1696408.25	-68-07-04	-68	3	R3-varṣā	100.81	N08-Pus/δ Cnc	3.83	282.33	N23-Dha/β Del	1	178	N08-Pus	N23-Dha
1696423.75	-68-07-20	-68	3	R3-varṣā	115.69	N10-Mag/μ Leo	-2.87	116.70	N10-Mag/ζ Leo	0	1	N10-Mag	N10-Mag
1696437.25	-68-08-02	-68	3	R3-varṣā	128.73	N11-PPal/δ Leo	2.28	304.43	N24-Sha/λ Aqr	1	175	N11-PPal	N24-Sha
1696452.75	-68-08-18	-68	3	R3-varṣā	143.82	N12-UPal/β Leo	-1.02	139.16	N12-UPal/* 93 Leo	0	4	N12-UPal	N12-UPal
1696467.25	-68-09-01	-68	4	R4-śarat	158.07	N13-Has/γ Crv	-0.75	338.43	N26-UBha/γ Peg	1	179	N13-Has	N26-UBha
1696482.75	-68-09-17	-68	4	R4-śarat	173.43	N14-Chi/α Vir	2.34	176.67	N15-Swa/α Boo	0	3	N14-Chi	N15-Swa
1696497.25	-68-10-01	-68	4	R4-śarat	187.93	N16-Vis/α1 Lib	-3.45	11.29	N01-Ash/α Ari	1	176	N16-Vis	N01-Ash
1696511.75	-68-10-16	-68	4	R4-śarat	202.53	N16-Vis/α2 Lib	4.00	199.92	N16-Vis/α2 Lib	0	2	N16-Vis	N16-Vis
1696527.25	-68-10-31	-68	5	R5-hemanta	218.25	N18-Jye/σ Sco	-4.91	43.88	N04-Roh/α Tau	1	174	N18-Jye	N04-Roh
1696541.75	-68-11-15	-68	5	R5-hemanta	233.02	N19-Mul/ν Sco	5.02	238.52	N19-Mul/ι1 Sco	0	5	N19-Mul	N19-Mul
1696556.25	-68-11-29	-68	5	R5-hemanta	247.82	N20-PAsh/λ Sgr	-4.92	64.72	N05-Mrg/α Ori	1	176	N20-PAsh	N05-Mrg
1696570.75	-68-12-14	-68	5	R5-hemanta	262.62	N21-UAsh/τ Sgr	4.42	261.60	N21-UAsh/τ Sgr	0	1	N21-UAsh	N21-UAsh
1696586.25	-68-12-29	-68	6	R6-śiśira	278.40	N22-Shr/β Aql	-3.50	98.15	N08-Pus/δ Cnc	1	179	N22-Shr	N08-Pus
1696600.75	-67-01-13	-67	6	R6-śiśira	293.09	N23-Dha/γ2 Del	1.96	298.46	N23-Dha/γ2 Del	0	5	N23-Dha	N23-Dha
1696616.25	-67-01-28	-67	6	R6-śiśira	308.70	N24-Sha/λ Aqr	-0.70	132.81	N11-PPal/δ Leo	1	175	N24-Sha	N11-PPal
1696629.75	-67-02-11	-67	6	R6-śiśira	322.19	N25-PBha/α Peg	0.01	320.44	N25-PBha/α Peg	0	1	N25-PBha	N25-PBha
1696645.25	-67-02-26	-67	1	R1-vasanta	337.54	N26-UBha/γ Peg	1.32	155.03	N13-Has/γ Crv	1	177	N26-UBha	N13-Has
1696659.75	-67-03-13	-67	1	R1-vasanta	351.78	N27-Rev/ε Psc	-2.93	354.74	N27-Rev/ε Psc	0	2	N27-Rev	N27-Rev
1696675.25	-67-03-28	-67	1	R1-vasanta	6.86	N01-Ash/β Ari	4.10	192.43	N16-Vis/α1 Lib	1	174	N01-Ash	N16-Vis
1696688.75	-67-04-11	-67	1	R1-vasanta	19.90	N02-Bha/* 39 Ari	-4.24	15.88	N02-Bha/* 35 Ari	0	4	N02-Bha	N02-Bha
1696704.25	-67-04-26	-67	2	R2-grīṣma	34.78	N04-Roh/γ Tau	4.94	215.99	N17-Anu/ω1 Sco	1	178	N04-Roh	N17-Anu
1696718.75	-67-05-11	-67	2	R2-grīṣma	48.63	N05-Mrg/γ Ori	-5.01	48.75	N05-Mrg/γ Ori	0	0	N05-Mrg	N05-Mrg
1696733.25	-67-05-25	-67	2	R2-grīṣma	62.44	N05-Mrg/α Ori	4.87	239.74	N19-Mul/ι1 Sco	1	177	N05-Mrg	N19-Mul
1696748.75	-67-06-10	-67	2	R2-grīṣma	77.19	N07-Pun/α Gem	-3.97	81.48	N07-Pun/α Gem	0	4	N07-Pun	N07-Pun
1696762.25	-67-06-23	-67	3	R3-varṣā	90.06	N07-Pun/β Gem	3.89	263.45	N21-UAsh/τ Sgr	1	173	N07-Pun	N21-UAsh
1696777.75	-67-07-09	-67	3	R3-varṣā	104.89	N09-Asl/ρ Hya	-2.53	102.46	N09-Asl/σ Hya	0	2	N09-Asl	N09-Asl
1696792.25	-67-07-23	-67	3	R3-varṣā	118.83	N10-Mag/ζ Leo	0.94	301.34	N23-Dha/γ2 Del	1	177	N10-Mag	N23-Dha
1696807.75	-67-08-08	-67	3	R3-varṣā	133.84	N11-PPal/θ Leo	0.45	136.37	N11-PPal/θ Leo	0	2	N11-PPal	N11-PPal
1696821.25	-67-08-21	-67	3	R3-varṣā	147.01	N12-UPal/β Leo	-1.11	323.85	N25-PBha/α Peg	1	176	N12-UPal	N25-PBha
1696836.75	-67-09-06	-67	4	R4-śarat	162.27	N13-Has/γ Crv	2.34	158.25	N13-Has/γ Crv	0	4	N13-Has	N13-Has
1696851.25	-67-09-20	-67	4	R4-śarat	176.68	N15-Swa/α Boo	-3.80	-0.96	N01-Ash/γ Ari	1	177	N15-Swa	N01-Ash
1696866.75	-67-10-06	-67	4	R4-śarat	192.21	N16-Vis/α1 Lib	4.58	194.78	N16-Vis/α1 Lib	0	2	N16-Vis	N16-Vis
1696881.25	-67-10-20	-67	4	R4-śarat	206.84	N17-Anu/δ Sco	-4.98	32.80	N03-Kri/* 27 Tau	1	174	N17-Anu	N03-Kri
1696895.75	-67-11-04	-67	5	R5-hemanta	221.56	N18-Jye/α Sco	5.02	217.80	N18-Jye/σ Sco	0	3	N18-Jye	N18-Jye
1696910.25	-67-11-18	-67	5	R5-hemanta	236.34	N19-Mul/λ Sco	-4.78	53.70	N05-Mrg/λ Ori	1	177	N19-Mul	N05-Mrg
1696925.75	-67-12-04	-67	5	R5-hemanta	252.17	N21-UAsh/φ Sgr	3.78	256.26	N21-UAsh/τ Sgr	0	4	N21-UAsh	N21-UAsh
1696940.25	-67-12-18	-67	5	R5-hemanta	266.96	N22-Shr/α Aql	-3.08	86.27	N07-Pun/β Gem	1	179	N22-Shr	N07-Pun
1696954.75	-66-01-02	-66	6	R6-śiśira	281.71	N23-Dha/β Del	2.03	279.45	N22-Shr/β Aql	0	2	N23-Dha	N22-Shr
1696970.25	-66-01-17	-66	6	R6-śiśira	297.39	N23-Dha/γ2 Del	-0.28	118.91	N10-Mag/ζ Leo	1	178	N23-Dha	N10-Mag
1696984.75	-66-02-01	-66	6	R6-śiśira	311.96	N24-Sha/λ Aqr	-1.40	317.19	N24-Sha/λ Aqr	0	5	N24-Sha	N24-Sha
1697000.25	-66-02-16	-66	6	R6-śiśira	327.41	N25-PBha/α Peg	2.66	152.51	N12-UPal/β Leo	1	174	N25-PBha	N12-UPal
1697013.75	-66-03-02	-66	1	R1-vasanta	340.75	N26-UBha/γ Peg	-3.20	339.76	N26-UBha/γ Peg	0	0	N26-UBha	N26-UBha
1697029.25	-66-03-17	-66	1	R1-vasanta	355.93	N27-Rev/ε Psc	4.09	174.33	N14-Chi/α Vir	1	178	N27-Rev	N14-Chi
1697043.75	-66-04-01	-66	1	R1-vasanta	10.02	N01-Ash/α Ari	-4.86	15.44	N02-Bha/* 35 Ari	0	5	N01-Ash	N02-Bha
1697059.25	-66-04-16	-66	1	R1-vasanta	24.96	N02-Bha/* 39 Ari	4.99	210.81	N17-Anu/δ Sco	1	174	N02-Bha	N17-Anu
1697072.75	-66-04-30	-66	2	R2-grīṣma	37.89	N04-Roh/δ Tau	-4.91	37.10	N04-Roh/γ Tau	0	0	N04-Roh	N04-Roh
1697088.25	-66-05-15	-66	2	R2-grīṣma	52.69	N05-Mrg/γ Ori	4.44	234.09	N19-Mul/ν Sco	1	178	N05-Mrg	N19-Mul
1697102.75	-66-05-30	-66	2	R2-grīṣma	66.49	N06-Ard/γ Gem	-3.56	70.49	N06-Ard/γ Gem	0	3	N06-Ard	N06-Ard
1697117.25	-66-06-13	-66	2	R2-grīṣma	80.30	N07-Pun/α Gem	3.08	257.57	N21-UAsh/τ Sgr	1	177	N07-Pun	N21-UAsh
1697131.75	-66-06-28	-66	3	R3-varṣā	94.13	N08-Pus/δ Cnc	-1.99	91.22	N07-Pun/β Gem	0	2	N08-Pus	N07-Pun
1697146.25	-66-07-12	-66	3	R3-varṣā	108.01	N09-Asl/ζ Hya	1.13	281.10	N23-Dha/β Del	1	173	N09-Asl	N23-Dha
1697161.75	-66-07-28	-66	3	R3-varṣā	122.94	N10-Mag/α Leo	0.98	123.66	N10-Mag/α Leo	0	0	N10-Mag	N10-Mag
1697176.25	-66-08-11	-66	3	R3-varṣā	137.01	N11-PPal/θ Leo	-2.34	319.55	N25-PBha/α Peg	1	177	N11-PPal	N25-PBha
1697191.75	-66-08-27	-66	4	R4-śarat	152.17	N12-UPal/β Leo	3.60	156.76	N13-Has/γ Crv	0	4	N12-UPal	N13-Has
1697205.25	-66-09-09	-66	4	R4-śarat	165.50	N13-Has/δ Crv	-3.95	342.59	N26-UBha/γ Peg	1	177	N13-Has	N26-UBha
1697220.75	-66-09-25	-66	4	R4-śarat	180.93	N15-Swa/α Boo	4.64	178.25	N15-Swa/α Boo	0	2	N15-Swa	N15-Swa
1697235.25	-66-10-09	-66	4	R4-śarat	195.49	N16-Vis/α1 Lib	-4.98	19.15	N02-Bha/* 41 Ari	1	176	N16-Vis	N02-Bha
1697250.75	-66-10-25	-66	5	R5-hemanta	211.16	N17-Anu/δ Sco	4.80	213.69	N17-Anu/δ Sco	0	2	N17-Anu	N17-Anu
1697264.25	-66-11-07	-66	5	R5-hemanta	224.88	N18-Jye/ε Sco	-4.57	41.07	N04-Roh/α Tau	1	176	N18-Jye	N04-Roh
1697279.75	-66-11-23	-66	5	R5-hemanta	240.69	N19-Mul/ι1 Sco	3.87	236.19	N19-Mul/λ Sco	0	4	N19-Mul	N19-Mul
1697294.25	-66-12-07	-66	5	R5-hemanta	255.49	N21-UAsh/ζ Sgr	-2.56	74.99	N06-Ard/γ Gem	1	179	N21-UAsh	N06-Ard
1697309.75	-66-12-23	-66	6	R6-śiśira	271.29	N22-Shr/α Aql	0.94	273.78	N22-Shr/β Aql	0	2	N22-Shr	N22-Shr
1697324.25	-65-01-06	-65	6	R6-śiśira	286.02	N23-Dha/β Del	0.34	107.71	N09-Asl/ζ Hya	1	178	N23-Dha	N09-Asl
1697338.75	-65-01-21	-65	6	R6-śiśira	300.67	N23-Dha/γ2 Del	-1.21	296.90	N23-Dha/γ2 Del	0	3	N23-Dha	N23-Dha
1697354.25	-65-02-05	-65	6	R6-śiśira	316.22	N24-Sha/λ Aqr	3.12	140.12	N12-UPal/* 93 Leo	1	176	N24-Sha	N12-UPal
1697368.75	-65-02-20	-65	1	R1-vasanta	330.64	N25-PBha/β Peg	-4.11	335.35	N25-PBha/β Peg	0	4	N25-PBha	N25-PBha
1697383.25	-65-03-06	-65	1	R1-vasanta	344.93	N26-UBha/α And	4.35	160.93	N13-Has/γ Crv	1	175	N26-UBha	N13-Has
1697397.75	-65-03-21	-65	1	R1-vasanta	359.11	N27-Rev/ε Psc	-4.92	358.56	N27-Rev/ε Psc	0	0	N27-Rev	N27-Rev
1697413.25	-65-04-05	-65	1	R1-vasanta	14.13	N02-Bha/* 35 Ari	4.95	194.62	N16-Vis/α1 Lib	1	179	N02-Bha	N16-Vis
1697426.75	-65-04-19	-65	1	R1-vasanta	27.13	N03-Kri/* 17 Tau	-4.86	21.65	N02-Bha/* 39 Ari	0	5	N03-Kri	N02-Bha
1697442.25	-65-05-04	-65	2	R2-grīṣma	41.96	N04-Roh/α Tau	4.37	216.43	N17-Anu/ω1 Sco	1	174	N04-Roh	N17-Anu
1697456.75	-65-05-19	-65	2	R2-grīṣma	55.79	N05-Mrg/λ Ori	-3.15	57.65	N05-Mrg/α Ori	0	1	N05-Mrg	N05-Mrg
1697472.25	-65-06-03	-65	2	R2-grīṣma	70.55	N06-Ard/γ Gem	2.00	252.57	N21-UAsh/φ Sgr	1	177	N06-Ard	N21-UAsh
1697485.75	-65-06-17	-65	2	R2-grīṣma	83.40	N07-Pun/α Gem	-1.44	79.31	N07-Pun/α Gem	0	4	N07-Pun	N07-Pun
1697501.25	-65-07-02	-65	3	R3-varṣā	98.20	N08-Pus/δ Cnc	-0.04	275.52	N22-Shr/β Aql	1	177	N08-Pus	N22-Shr
1697515.75	-65-07-17	-65	3	R3-varṣā	112.10	N10-Mag/ε Leo	1.58	112.60	N10-Mag/μ Leo	0	0	N10-Mag	N10-Mag
1697531.25	-65-08-01	-65	3	R3-varṣā	127.06	N11-PPal/δ Leo	-3.29	313.87	N24-Sha/λ Aqr	1	173	N11-PPal	N24-Sha
1697545.75	-65-08-16	-65	3	R3-varṣā	141.16	N12-UPal/* 93 Leo	4.01	145.19	N12-UPal/β Leo	0	4	N12-UPal	N12-UPal
1697560.25	-65-08-30	-65	4	R4-śarat	155.38	N13-Has/γ Crv	-4.59	337.40	N26-UBha/γ Peg	1	177	N13-Has	N26-UBha
1697574.75	-65-09-14	-65	4	R4-śarat	169.72	N13-Has/β Crv	4.84	165.95	N13-Has/δ Crv	0	3	N13-Has	N13-Has
1697589.25	-65-09-28	-65	4	R4-śarat	184.19	N15-Swa/α Boo	-5.02	0.82	N01-Ash/γ Ari	1	176	N15-Swa	N01-Ash
1697604.75	-65-10-14	-65	4	R4-śarat	199.78	N16-Vis/α2 Lib	4.69	199.08	N16-Vis/α2 Lib	0	0	N16-Vis	N16-Vis
1697619.25	-65-10-28	-65	5	R5-hemanta	214.46	N17-Anu/β1 Sco	-3.81	38.44	N04-Roh/δ Tau	1	176	N17-Anu	N04-Roh
1697634.75	-65-11-13	-65	5	R5-hemanta	230.24	N19-Mul/ζ2 Sco	2.79	233.27	N19-Mul/ν Sco	0	3	N19-Mul	N19-Mul
1697648.25	-65-11-26	-65	5	R5-hemanta	244.01	N20-PAsh/γ Sgr	-2.20	60.74	N05-Mrg/α Ori	1	176	N20-PAsh	N05-Mrg
1697663.75	-65-12-12	-65	5	R5-hemanta	259.84	N21-UAsh/τ Sgr	0.96	255.12	N21-UAsh/ζ Sgr	0	4	N21-UAsh	N21-UAsh
1697678.25	-65-12-26	-65	6	R6-śiśira	274.61	N22-Shr/β Aql	0.91	95.58	N08-Pus/δ Cnc	1	179	N22-Shr	N08-Pus
1697693.75	-64-01-11	-64	6	R6-śiśira	290.34	N23-Dha/δ Del	-2.30	291.58	N23-Dha/γ2 Del	0	1	N23-Dha	N23-Dha
1697708.25	-64-01-25	-64	6	R6-śiśira	304.96	N24-Sha/λ Aqr	3.58	129.04	N11-PPal/δ Leo	1	175	N24-Sha	N11-PPal
1697722.75	-64-02-09	-64	6	R6-śiśira	319.47	N25-PBha/α Peg	-3.95	314.56	N24-Sha/λ Aqr	0	4	N25-PBha	N24-Sha
1697737.25	-64-02-23	-64	1	R1-vasanta	333.86	N25-PBha/β Peg	4.64	149.89	N12-UPal/β Leo	1	176	N25-PBha	N12-UPal
1697752.75	-64-03-10	-64	1	R1-vasanta	349.11	N27-Rev/ε Psc	-5.03	353.25	N27-Rev/ε Psc	0	4	N27-Rev	N27-Rev
1697767.25	-64-03-24	-64	1	R1-vasanta	3.25	N01-Ash/γ Ari	4.89	182.58	N15-Swa/α Boo	1	179	N01-Ash	N15-Swa
