Epoch	City	Location	GeoLat	GetLat°	lat	lon	ra	decl	rise-hr	jd	date	year
-2750	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.13	88.41	-11.79	89.34	-5	716613.25	-2751-12-24T22:59:14	-2751
-2700	Madurai	Madurai(9.92°)	9.92	9.92°	66.13	88.41	-11.71	89.34	-5	734876.25	-2701-12-25T22:59:14	-2701
-2700	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.13	88.41	-11.71	89.34	-5	734876.25	-2701-12-25T22:59:14	-2701
-2700	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.13	88.41	-11.71	89.34	-5	734876.25	-2701-12-25T22:59:14	-2701
-2700	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.13	88.41	-11.71	89.34	-5	734876.25	-2701-12-25T22:59:14	-2701
-2650	Madurai	Madurai(9.92°)	9.92	9.92°	66.14	88.41	-11.64	89.34	-5	753138.25	-2651-12-24T22:59:14	-2651
-2650	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.14	88.41	-11.64	89.34	-5	753138.25	-2651-12-24T22:59:14	-2651
-2650	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.14	88.41	-11.64	89.34	-5	753138.25	-2651-12-24T22:59:14	-2651
-2650	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.14	88.41	-11.64	89.34	-5	753138.25	-2651-12-24T22:59:14	-2651
-2600	Madurai	Madurai(9.92°)	9.92	9.92°	66.14	88.41	-11.57	89.34	-5	771401.25	-2601-12-25T22:59:14	-2601
-2600	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.14	88.41	-11.57	89.34	-5	771401.25	-2601-12-25T22:59:14	-2601
-2600	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.14	88.41	-11.57	89.34	-5	771401.25	-2601-12-25T22:59:14	-2601
-2600	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.14	88.41	-11.57	89.34	-5	771401.25	-2601-12-25T22:59:14	-2601
-2550	Madurai	Madurai(9.92°)	9.92	9.92°	66.14	88.41	-11.49	89.34	-5	789664.25	-2551-12-25T22:59:14	-2551
-2550	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.14	88.41	-11.49	89.34	-5	789664.25	-2551-12-25T22:59:14	-2551
-2550	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.14	88.41	-11.49	89.34	-5	789664.25	-2551-12-25T22:59:14	-2551
-2550	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.14	88.41	-11.49	89.34	-5	789664.25	-2551-12-25T22:59:14	-2551
-2500	Madurai	Madurai(9.92°)	9.92	9.92°	66.15	88.41	-11.42	89.34	-5	807926.25	-2501-12-25T22:59:14	-2501
-2500	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.15	88.41	-11.42	89.34	-5	807926.25	-2501-12-25T22:59:14	-2501
-2500	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.15	88.41	-11.42	89.34	-5	807926.25	-2501-12-25T22:59:14	-2501
-2500	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.15	88.41	-11.42	89.34	-5	807926.25	-2501-12-25T22:59:14	-2501
-2450	Madurai	Madurai(9.92°)	9.92	9.92°	66.15	88.41	-11.34	89.35	-5	826189.25	-2451-12-25T22:59:14	-2451
-2450	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.15	88.41	-11.34	89.35	-5	826189.25	-2451-12-25T22:59:14	-2451
-2450	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.15	88.41	-11.34	89.35	-5	826189.25	-2451-12-25T22:59:14	-2451
-2450	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.15	88.41	-11.34	89.35	-5	826189.25	-2451-12-25T22:59:14	-2451
-2400	Madurai	Madurai(9.92°)	9.92	9.92°	66.15	88.41	-11.27	89.35	-5	844452.25	-2401-12-26T22:59:14	-2401
-2400	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.15	88.41	-11.27	89.35	-5	844452.25	-2401-12-26T22:59:14	-2401
-2400	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.15	88.41	-11.27	89.35	-5	844452.25	-2401-12-26T22:59:14	-2401
-2400	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.15	88.41	-11.27	89.35	-5	844452.25	-2401-12-26T22:59:14	-2401
-2350	Madurai	Madurai(9.92°)	9.92	9.92°	66.16	88.41	-11.2	89.35	-5	862714.25	-2351-12-25T22:59:14	-2351
-2350	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.16	88.41	-11.2	89.35	-5	862714.25	-2351-12-25T22:59:14	-2351
-2350	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.16	88.41	-11.2	89.35	-5	862714.25	-2351-12-25T22:59:14	-2351
-2350	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.16	88.41	-11.2	89.35	-5	862714.25	-2351-12-25T22:59:14	-2351
-2300	Madurai	Madurai(9.92°)	9.92	9.92°	66.16	88.41	-11.12	89.35	-5	880977.25	-2301-12-26T22:59:14	-2301
-2300	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.16	88.41	-11.12	89.35	-5	880977.25	-2301-12-26T22:59:14	-2301
-2300	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.16	88.41	-11.12	89.35	-5	880977.25	-2301-12-26T22:59:14	-2301
-2300	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.16	88.41	-11.12	89.35	-5	880977.25	-2301-12-26T22:59:14	-2301
-2250	Madurai	Madurai(9.92°)	9.92	9.92°	66.17	88.41	-11.05	89.35	-5	899239.25	-2251-12-25T22:59:14	-2251
-2250	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.17	88.41	-11.05	89.35	-5	899239.25	-2251-12-25T22:59:14	-2251
-2250	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.17	88.41	-11.05	89.35	-5	899239.25	-2251-12-25T22:59:14	-2251
-2250	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.17	88.41	-11.05	89.35	-5	899239.25	-2251-12-25T22:59:14	-2251
-2200	Madurai	Madurai(9.92°)	9.92	9.92°	66.17	88.41	-10.97	89.35	-5	917502.25	-2201-12-26T22:59:14	-2201
-2200	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.17	88.41	-10.97	89.35	-5	917502.25	-2201-12-26T22:59:14	-2201
-2200	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.17	88.41	-10.97	89.35	-5	917502.25	-2201-12-26T22:59:14	-2201
-2200	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.17	88.41	-10.97	89.35	-5	917502.25	-2201-12-26T22:59:14	-2201
-2150	Madurai	Madurai(9.92°)	9.92	9.92°	66.18	88.41	-10.9	89.35	-5	935765.25	-2151-12-26T22:59:14	-2151
-2150	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.18	88.41	-10.9	89.35	-5	935765.25	-2151-12-26T22:59:14	-2151
-2150	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.18	88.41	-10.9	89.35	-5	935765.25	-2151-12-26T22:59:14	-2151
-2150	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.18	88.41	-10.9	89.35	-5	935765.25	-2151-12-26T22:59:14	-2151
-2100	Madurai	Madurai(9.92°)	9.92	9.92°	66.18	88.41	-10.82	89.35	-5	954027.25	-2101-12-26T22:59:14	-2101
-2100	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.18	88.41	-10.82	89.35	-5	954027.25	-2101-12-26T22:59:14	-2101
-2100	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.18	88.41	-10.82	89.35	-5	954027.25	-2101-12-26T22:59:14	-2101
-2100	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.18	88.41	-10.82	89.35	-5	954027.25	-2101-12-26T22:59:14	-2101
-2050	Madurai	Madurai(9.92°)	9.92	9.92°	66.18	88.41	-10.75	89.35	-5	972290.25	-2051-12-26T22:59:14	-2051
-2050	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.18	88.41	-10.75	89.35	-5	972290.25	-2051-12-26T22:59:14	-2051
-2050	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.18	88.41	-10.75	89.35	-5	972290.25	-2051-12-26T22:59:14	-2051
-2050	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.18	88.41	-10.75	89.35	-5	972290.25	-2051-12-26T22:59:14	-2051
-2000	Madurai	Madurai(9.92°)	9.92	9.92°	66.19	88.41	-10.67	89.35	-5	990552.25	-2001-12-26T22:59:14	-2001
-2000	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.19	88.41	-10.67	89.35	-5	990552.25	-2001-12-26T22:59:14	-2001
-2000	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.19	88.41	-10.67	89.35	-5	990552.25	-2001-12-26T22:59:14	-2001
-2000	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.19	88.41	-10.67	89.35	-5	990552.25	-2001-12-26T22:59:14	-2001
-1950	Madurai	Madurai(9.92°)	9.92	9.92°	66.19	88.41	-10.6	89.35	-5	1008815.25	-1951-12-26T22:59:14	-1951
-1950	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.19	88.41	-10.6	89.35	-5	1008815.25	-1951-12-26T22:59:14	-1951
-1950	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.19	88.41	-10.6	89.35	-5	1008815.25	-1951-12-26T22:59:14	-1951
-1950	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.19	88.41	-10.6	89.35	-5	1008815.25	-1951-12-26T22:59:14	-1951
-1900	Madurai	Madurai(9.92°)	9.92	9.92°	66.2	88.41	-10.52	89.35	-5	1027078.25	-1901-12-27T22:59:14	-1901
-1900	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.2	88.41	-10.52	89.35	-5	1027078.25	-1901-12-27T22:59:14	-1901
-1900	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.2	88.41	-10.52	89.35	-5	1027078.25	-1901-12-27T22:59:14	-1901
-1900	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.2	88.41	-10.52	89.35	-5	1027078.25	-1901-12-27T22:59:14	-1901
