jd	date	yr	season	rtu	eqnx	sun_lon	sun_naks	moon_lon	moon_naks	moon_phase	moon_sun_diff	sun_न	moon_न	kv_pair	moon_lon_adj	sun_lon_adj	jd_diff	moon_lon_adj_packed	yr_grp	kv_adj
871589.47	-2326-03-24	-2326	1	R1-vasanta	True	2.43	N03-Kri/* 27 Tau	182.42	N17-Anu/δ Sco	1	179	N03-Kri	N17-Anu	False	182.42	2.43	915.50	47.42	0	
872504.97	-2324-09-25	-2324	4	R4-śarat	True	182.93	N17-Anu/δ Sco	3.56	N04-Roh/γ Tau	1	-179	N17-Anu	N04-Roh	False	3.56	182.93	177.81	3.56	0	
872682.78	-2323-03-22	-2323	1	R1-vasanta	True	0.12	N03-Kri/η Tau	179.93	N17-Anu/δ Sco	1	179	N03-Kri	N17-Anu	False	179.93	0.12	914.84	44.93	0	
873597.62	-2321-09-23	-2321	4	R4-śarat	True	179.80	N17-Anu/δ Sco	0.13	N03-Kri/η Tau	1	-179	N17-Anu	N03-Kri	False	0.13	179.80	177.56	0.13	0	
873775.18	-2320-03-18	-2320	1	R1-vasanta	False	356.95	N03-Kri/* 17 Tau	177.12	N17-Anu/δ Sco	1	-179	N03-Kri	N17-Anu	False	177.12	-3.05	737.83	42.12	0	
874513.01	-2318-03-26	-2318	1	R1-vasanta	False	3.96	N04-Roh/γ Tau	184.24	N17-Anu/ω1 Sco	1	180	N04-Roh	N17-Anu	False	184.24	3.96	177.74	49.24	0	
874690.75	-2318-09-20	-2318	4	R4-śarat	True	177.15	N17-Anu/δ Sco	356.64	N03-Kri/* 17 Tau	1	179	N17-Anu	N03-Kri	False	-3.36	177.15	915.36	-3.36	0	
875606.11	-2315-03-23	-2315	1	R1-vasanta	True	1.45	N03-Kri/* 27 Tau	181.31	N17-Anu/δ Sco	1	179	N03-Kri	N17-Anu	False	181.31	1.45	914.84	46.31	0	
876520.95	-2313-09-24	-2313	4	R4-śarat	True	181.21	N17-Anu/δ Sco	1.20	N03-Kri/* 27 Tau	1	-180	N17-Anu	N03-Kri	False	1.20	181.21	178.03	1.20	0	
876698.98	-2312-03-20	-2312	1	R1-vasanta	True	358.73	N03-Kri/* 17 Tau	179.27	N17-Anu/δ Sco	1	-179	N03-Kri	N17-Anu	False	179.27	-1.27	915.29	44.27	0	
877614.27	-2310-09-21	-2310	4	R4-śarat	True	178.76	N17-Anu/δ Sco	358.77	N03-Kri/* 17 Tau	1	180	N17-Anu	N03-Kri	False	-1.23	178.76	915.16	-1.23	0	
878529.43	-2307-03-24	-2307	1	R1-vasanta	True	2.77	N03-Kri/* 27 Tau	182.96	N17-Anu/δ Sco	1	180	N03-Kri	N17-Anu	False	182.96	2.77	914.97	47.96	0	
879444.40	-2305-09-25	-2305	4	R4-śarat	True	182.75	N17-Anu/δ Sco	2.62	N03-Kri/* 27 Tau	1	-180	N17-Anu	N03-Kri	False	2.62	182.75	178.15	2.62	0	
