jd,elati_Moon,elong_Moon,elong_Sun,r_Moon,sun_moon_angle,naks_Moon,naks_Sun
1355843.833,4.965,263.063,307.505,63.251000000000005,44.442,N21-UAsh,N26-PBha
1355844.0,4.998,265.078,307.671,63.196999999999996,42.593,N21-UAsh,N26-PBha
1355844.167,5.026,267.097,307.837,63.138999999999996,40.74,N21-UAsh,N26-PBha
1355844.333,5.047,269.123,308.003,63.078,38.88,N22-Abi,N26-PBha
1355844.5,5.061,271.153,308.168,63.013000000000005,37.015,N22-Abi,N26-PBha
1355844.667,5.069,273.19,308.334,62.943999999999996,35.144,N23-Shr,N26-PBha
1355844.833,5.07,275.232,308.5,62.871,33.268,N23-Shr,N26-PBha
1355845.0,5.065,277.281,308.665,62.795,31.384,N23-Shr,N26-PBha
1355845.167,5.053,279.335,308.83099999999996,62.716,29.496,N23-Shr,N26-PBha
1355845.333,5.034,281.39599999999996,308.997,62.633,27.601,N23-Shr,N26-PBha
1355845.5,5.0089999999999995,283.464,309.16200000000003,62.547,25.698,N23-Shr,N26-PBha
1355845.667,4.977,285.538,309.328,62.457,23.79,N23-Shr,N26-PBha
1355845.833,4.938,287.619,309.493,62.365,21.874000000000002,N24-Dha,N26-PBha
1355846.0,4.893,289.707,309.659,62.269,19.952,N24-Dha,N26-PBha
1355846.167,4.841,291.801,309.824,62.17100000000001,18.023,N24-Dha,N26-PBha
1355846.333,4.782,293.902,309.99,62.07,16.088,N24-Dha,N26-PBha
1355846.5,4.717,296.01,310.155,61.966,14.145,N24-Dha,N26-PBha
1355846.667,4.645,298.125,310.32099999999997,61.86,12.196,N24-Dha,N26-PBha
1355846.833,4.567,300.247,310.486,61.751999999999995,10.238999999999999,N25-Sha,N26-PBha
1355847.0,4.482,302.375,310.652,61.641000000000005,8.277000000000001,N25-Sha,N26-PBha
1355847.167,4.391,304.51099999999997,310.817,61.528,6.306,N25-Sha,N26-PBha
1355847.333,4.293,306.653,310.983,61.413000000000004,4.33,N26-PBha,N26-PBha
1355847.5,4.19,308.801,311.14799999999997,61.297,2.347,N26-PBha,N26-PBha
1355847.667,4.08,310.957,311.314,61.178000000000004,0.35700000000000004,N26-PBha,N26-PBha
1355847.833,3.965,313.119,311.47900000000004,61.059,358.36,N26-PBha,N26-PBha
1355848.0,3.843,315.28700000000003,311.644,60.937,356.35699999999997,N26-PBha,N26-PBha
1355848.167,3.716,317.461,311.81,60.815,354.349,N26-PBha,N26-PBha
1355848.333,3.583,319.642,311.975,60.692,352.333,N27-UBha,N26-PBha
1355848.5,3.445,321.829,312.14,60.568000000000005,350.311,N27-UBha,N26-PBha
1355848.667,3.301,324.022,312.306,60.443000000000005,348.284,N27-UBha,N26-PBha
