gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
λ Sgr,N20-PAsh,20,rep,Kaus Borealis,HIP 90496,पूर्वाषाढा,P Aṣāḍhā,Ap,276.99,-25.42,276.31,-2.14,322,1210042.56,-1400-11-19 01:29:20.321,117.07,7.59
γ Sgr,N20-PAsh,20,other,Alnasl,HIP 88635,पूर्वाषाढा,P Aṣāḍhā,Ap,271.45,-30.42,271.25,-6.99,318,1210038.56,-1400-11-15 01:25:43.888,120.67,7.24
δ Sgr,N20-PAsh,20,other,Kaus Media,HIP 89931,पूर्वाषाढा,P Aṣāḍhā,Ap,275.25,-29.83,274.57,-6.47,321,1210041.56,-1400-11-18 01:28:37.034,121.15,7.02
ε Sgr,N20-PAsh,20,other,Kaus Australis,HIP 90185,पूर्वाषाढा,P Aṣāḍhā,Ap,276.04,-34.38,275.07,-11.05,324,1210044.56,-1400-11-21 01:31:08.537,127.30,7.67
τ Sgr,N21-UAsh,21,rep,Namalsadirah II,HIP 93864,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,286.74,-27.67,284.82,-5.09,332,1210052.57,-1400-11-29 01:37:59.760,123.41,7.71
ζ Sgr,N21-UAsh,21,other,Ascella,HIP 93506,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,285.65,-29.88,283.63,-7.18,331,1210051.57,-1400-11-28 01:37:16.473,125.18,7.16
σ Sgr,N21-UAsh,21,other,Nunki,HIP 92855,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,283.82,-26.30,282.38,-3.45,328,1210048.57,-1400-11-25 01:34:44.970,120.21,7.03
φ Sgr,N21-UAsh,21,other,Namalsadirah I,HIP 92041,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,281.41,-26.99,280.17,-3.95,326,1210046.56,-1400-11-23 01:32:56.754,120.15,7.09
α Aql,N22-Shr,22,rep,Altair,HIP 97649,श्रवण,Śravaṇa,Viṣṇu,297.70,8.87,301.77,29.30,334,1210054.57,-1400-12-01 01:39:47.976,86.36,7.05
β Aql,N22-Shr,22,other,Alshain,HIP 98036,श्रवण,Śravaṇa,Viṣṇu,298.83,6.41,302.41,26.66,336,1210056.57,-1400-12-03 01:41:14.549,89.72,7.58
γ Aql,N22-Shr,22,other,Tarazed,HIP 97278,श्रवण,Śravaṇa,Viṣṇu,296.56,10.61,300.93,31.24,333,1210053.57,-1400-11-30 01:38:43.046,84.22,7.33
β Del,N23-Dha,23,rep,Rotanev,HIP 101769,धनिष्ठा,Dhaniṣṭhā,Vasu,309.39,14.60,316.33,31.92,345,1210065.57,-1400-12-12 01:47:44.128,84.75,7.97
α Del,N23-Dha,23,other,Sualocin,HIP 101958,धनिष्ठा,Dhaniṣṭhā,Vasu,309.91,15.91,317.37,33.02,345,1210065.57,-1400-12-12 01:47:44.128,83.36,7.70
γ2 Del,N23-Dha,23,other,Al Salib,HIP 102532,धनिष्ठा,Dhaniṣṭhā,Vasu,311.66,16.12,319.36,32.70,346,1210066.58,-1400-12-13 01:48:27.415,83.39,7.09
δ Del,N23-Dha,23,other,Al Ukud,HIP 102281,धनिष्ठा,Dhaniṣṭhā,Vasu,310.86,15.07,318.11,31.95,346,1210066.58,-1400-12-13 01:48:27.415,84.57,7.66
α Aqr,N23-Dha,23,other,Sadalmelik,HIP 109074,धनिष्ठा,Dhaniṣṭhā,Vasu,331.45,-0.32,333.35,10.66,5,1209725.58,-1400-01-06 01:57:28.497,107.86,7.03
