jd	date	yr	season	rtu	eqnx	sun_lon	sun_naks	moon_lon	moon_naks	moon_phase	moon_sun_diff	sun_न	moon_न	kv_pair	moon_lon_adj	sun_lon_adj	jd_diff	moon_lon_adj_packed	yr_grp	kv_adj
1002616.93	-1968-12-20	-1968	6	R6-śiśira	False	270.07	N23-Dha/γ2 Del	90.70	N10-Mag/ζ Leo	1	-179	N23-Dha	N10-Mag	True	90.70	270.07	915.57	90.70	0	False
1003532.50	-1965-06-24	-1965	2	R2-grīṣma	False	89.06	N10-Mag/μ Leo	268.55	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	268.55	89.06	2923.71	133.55	0	False
1006456.21	-1957-06-25	-1957	3	R3-varṣā	False	90.77	N10-Mag/ζ Leo	270.82	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	270.82	90.77	3100.20	135.82	0	False
1009556.41	-1949-12-20	-1949	5	R5-hemanta	False	269.94	N23-Dha/γ2 Del	89.85	N10-Mag/μ Leo	1	-180	N23-Dha	N10-Mag	True	89.85	269.94	3839.18	89.85	0	False
1013395.59	-1938-06-25	-1938	3	R3-varṣā	False	90.56	N10-Mag/ζ Leo	269.83	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	269.83	90.56	3100.70	134.83	0	False
1016496.29	-1930-12-20	-1930	6	R6-śiśira	False	270.21	N23-Dha/γ2 Del	90.24	N10-Mag/ζ Leo	1	-179	N23-Dha	N10-Mag	True	90.24	270.21	3838.71	90.24	0	False
1020335.00	-1919-06-24	-1919	3	R3-varṣā	False	90.39	N10-Mag/ζ Leo	270.92	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	270.92	90.39	177.97	135.92	0	True
1020512.97	-1919-12-19	-1919	5	R5-hemanta	False	269.21	N23-Dha/γ2 Del	89.10	N10-Mag/μ Leo	1	-180	N23-Dha	N10-Mag	True	89.10	269.21	2923.34	89.10	0	True
1023436.31	-1911-12-20	-1911	6	R6-śiśira	False	270.62	N23-Dha/γ2 Del	90.68	N10-Mag/ζ Leo	1	-179	N23-Dha	N10-Mag	True	90.68	270.62	3838.13	90.68	0	False
1027274.44	-1900-06-24	-1900	3	R3-varṣā	False	90.24	N10-Mag/μ Leo	270.07	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	270.07	90.24	178.27	135.07	0	True
1027452.71	-1900-12-20	-1900	5	R5-hemanta	False	269.34	N23-Dha/γ2 Del	88.76	N10-Mag/μ Leo	1	-180	N23-Dha	N10-Mag	True	88.76	269.34	2923.55	88.76	0	True
1030376.26	-1892-12-21	-1892	6	R6-śiśira	False	270.96	N23-Dha/γ2 Del	90.97	N10-Mag/ζ Leo	1	-179	N23-Dha	N10-Mag	True	90.97	270.96	914.71	90.97	0	False
