iter	fits	jd	sun_ra	sun_dec	sun_lon	sun_lat	moon_ra	moon_dec	moon_lon	moon_lat	phase	jd_diff	yr	stel_jd	sun_naks	moon_naks	eqnx_1_tol	eqnx_2_tol	eqnx_3_tol	eqnx_4_tol	sun_न	moon_न	moon_phase	_season	season
3	-01880-11-09T03:46:32.752	1034716.6573235196	283.0244217053073	-23.422180485441835	228.19381181082005	-0.0068805235352975	102.47178734817638	27.13616770272268	47.376565835623055	3.661635242304525	179.17124455607512	29.84873427345883	-1879	1034700.6573148147	N21-UAsh/σ Sgr	N06-Ard/γ Gem	False	False	False	False	N21-UAsh	N06-Ard	1	5	5
4	-01880-12-09T00:08:43.393	1034746.5060577932	314.906146274594	-17.499586908460397	258.58174929095287	-0.0037284469053294	135.04440680294317	18.754828924289928	78.35778048384925	1.243931567505029	179.7661932743586	29.791811745031737	-1879	1034730.5060532409	N23-Dha/β Del	N09-Asl/η Hya	False	False	False	False	N23-Dha	N09-Asl	1	5	5
4	-01879-01-07T19:08:55.928	1034776.2978695382	343.7337748084899	-7.133466118155267	288.5422434290416	0.0006335107684289	162.90960570059846	5.873203134229411	108.28327613259992	-1.4799693887633516	179.7355492217378	29.72311349166557	-1878	1034760.2978587964	N24-Sha/λ Aqr	N11-PPal/δ Leo	False	False	False	False	N24-Sha	N11-PPal	1	0	0
4	-01879-02-06T12:30:12.934	1034806.02098303	10.683812301229183	4.673151586670154	317.919422195858	0.0049951164474457	189.00900465162167	-8.0149048670007	137.7322117983186	-3.733187849297896	179.813020050318	29.54885247105267	-1878	1034790.0209722222	N26-UBha/γ Peg	N13-Has/γ Crv	False	False	False	False	N26-UBha	N13-Has	1	0	0
3	-01879-03-08T01:40:33.787	1034835.5698355008	37.819965431061206	15.21779237292069	346.6105774579098	0.0081446452680096	215.42231305872463	-19.594678727231496	165.87196304362607	-4.8915774417348485	179.26710628022283	29.51824646478053	-1878	1034819.5698263888	N01-Ash/α Ari	N16-Vis/α1 Lib	False	False	False	False	N01-Ash	N16-Vis	1	1	1
3	-01879-04-06T14:06:50.282	1034865.0880819656	66.79422704223023	22.20896643447689	14.880186566598802	0.0094068549664165	245.66025999525155	-26.854352323457373	194.6168929992632	-4.760853837728349	179.74655002901224	29.410207569482736	-1878	1034849.0880787036	N04-Roh/ε Tau	N18-Jye/σ Sco	False	False	False	False	N04-Roh	N18-Jye	1	1	1
3	-01879-05-05T23:57:32.216	1034894.4982895352	97.19670161391402	23.80180343556464	42.85906538347601	0.0086120412521345	277.3880035466799	-27.16148764718588	222.84891879188507	-3.372712399368934	180.00143049504186	29.346259912126698	-1878	1034878.498287037	N06-Ard/γ Gem	N20-PAsh/λ Sgr	False	False	False	False	N06-Ard	N20-PAsh	1	2	2
2	-01879-06-04T08:16:09.072	1034923.8445494472	127.00479924020456	19.56473122711594	70.8284980583492	0.005976370586726	307.3491760371744	-20.62037284169625	250.87304783483447	-1.1087071314749428	180.05510817158813	29.315194449969567	-1878	1034907.8445486112	N08-Pus/δ Cnc	N22-Shr/β Aql	False	False	False	False	N08-Pus	N22-Shr	1	2	2
3	-01879-07-03T15:50:01.873	1034953.1597438972	154.8265655624203	10.741488455175787	99.04651989656764	0.0020721093261217	334.1394128003661	-9.448976214721524	278.8832024913717	1.4485144703776678	179.84376597739094	29.33996149431914	-1878	1034937.1597337964	N10-Mag/α Leo	N24-Sha/λ Aqr	False	False	False	False	N10-Mag	N24-Sha	1	3	3
3	-01879-08-01T23:59:34.546	1034982.4997053916	181.3499844995557	-0.5599617435851003	127.73755400716892	-0.002200166910105	359.61694595509465	3.7939092142905775	307.46727824989364	3.661092577598237	179.73155499832	29.39809464255813	-1878	1034966.499699074	N12-UPal/β Leo	N25-PBha/β Peg	False	False	False	False	N12-UPal	N25-PBha	1	3	3
