date	index	jd	lati_Jupiter	lati_Mars	lati_Mercury	lati_Moon	lati_Saturn	lati_Sun	lati_Venus	long_Jupiter	long_Mars	long_Mercury	long_Moon	long_Saturn	long_Sun	long_Venus	long_jyeshta
-576-04-28	126495	1510797.5	-1.1407726330212609	1.6734932517835022	-0.6889513002532205	0.09476926703176304	2.313083762067981	0.0	-1.6852919269741975	319.90951364508527	127.70453333330593	45.115487610417006	80.15363322692667	217.8983013172292	35.97878989771198	350.44015419663236	213.70897863013698
-576-05-05	126496	1510804.5	-1.173797396311853	1.4880478188306117	-2.5965065233659237	-5.140474678691466	2.3062277267229314	0.0	-2.0185489612768333	320.7824765937766	130.82879466365858	41.52515409478423	173.34936202974723	217.38681955361267	42.65189178125422	357.6613401585253	213.70901643835617
-576-05-12	126497	1510811.5	-1.2084791468761629	1.3133198313343142	-3.844566574219767	-0.30645874578979	2.295705697479022	0.0	-2.2412593250258017	321.5333135985698	134.15721542006509	38.32699121799578	257.0594089377093	216.8844914269021	49.31726302865758	5.080437008067804	213.70905424657533
-576-05-19	126498	1510818.5	-1.244667615272956	1.1482065553433611	-4.060665807979883	5.141766560118262	2.2816682584429517	0.0	-2.361409140054839	322.1527929672668	137.66696055931095	38.06030400391893	347.9349757063105	216.40358248043202	55.978094253185645	12.662810448852436	213.70909205479452
-576-05-26	126499	1510825.5	-1.2821440375417352	0.9917171793488282	-3.395728550777257	-0.8811688998801422	2.2643522098452977	0.0	-2.3875230519896857	322.6321885119229	141.3390928281092	41.651220915273825	89.55815415237792	215.9556848561681	62.63762543437917	20.382320863204036	213.7091298630137
-576-06-02	126500	1510832.5	-1.3206072375732951	0.8429834850250658	-2.167840869598151	-5.022902187971988	2.2440677276578023	0.0	-2.3287349289457198	322.963692138696	145.15790173401774	48.99903902093007	181.91275374844616	215.5514098881549	69.29911063219822	28.219179884590005	213.70916767123288
-576-06-09	126501	1510839.5	-1.359660369162576	0.7012597844465889	-0.6982797672086413	0.5844052872996364	2.2211824875480484	0.0	-2.19481083735084	323.1409409635998	149.1103304203619	59.74581245474616	265.48631724846376	215.20014219627208	75.96578272680415	36.15838542284757	213.70920547945207
-576-06-16	126502	1510846.5	-1.3988003049692792	0.5659172553659637	0.6504404653302426	5.0860534179301835	2.196104263009173	0.0	-1.9961253057535049	323.1596589167683	153.18549309689456	73.16882774910067	357.34504125177114	214.9098647788627	82.64081811925637	44.18855129183879	213.70924328767123
-576-06-23	126503	1510853.5	-1.437412416486055	0.4364356655841444	1.5299735044827243	-1.8209786171008402	2.16926347802566	0.0	-1.7435945505328776	323.01839574021926	157.3742714445391	87.78043294267735	98.91600723616564	214.68705731661643	89.32730134536507	52.30100784929539	213.70928109589042
-576-06-30	126504	1510860.5	-1.474774109460403	0.3123941701182971	1.8150480989697024	-4.7535197077368405	2.141096979623683	0.0	-1.4485706134452856	322.7193216427607	161.66897769222737	102.03628505088629	190.43074910850186	214.5366634085205	96.02818958329635	60.48909167127823	213.70931890410958
-576-07-07	126505	1510867.5	-1.5100706540735185	0.19346207816622485	1.596857755425518	1.4610134850793823	2.1120339620759063	0.0	-1.1227000581554902	322.2690050500206	166.0630729546874	115.2242993248063	273.9532425173306	214.46211753408886	102.74627709724804	68.74757102272002	213.70935671232877
-576-07-14	126506	1510874.5	-1.5424261876700944	0.07939002068983955	1.0175455411987893	4.846429215818289	2.082484597319375	0.0	-0.7777507847979336	321.67906872242787	170.5509309324318	127.23576863857386	6.805179108683602	214.46541953003293	109.48415973109604	77.07217378236749	213.70939452054796
-576-07-21	126507	1510881.5	-1.5709509255308949	-0.02999832130217692	0.19605374479317628	-2.6914191807003642	2.052831569973426	0.0	-0.425410969631265	320.9665950427993	175.127638718141	138.11785497014768	108.22788519548374	214.5472432443437	116.2441996597134	85.45919821346604	213.70943232876712
-576-07-28	126508	1510888.5	-1.5948025186750054	-0.13481392012081353	-0.7746865422039257	-4.342151818697223	2.023424424108521	0.0	-0.07706518804039007	320.15414676603507	179.78882800964803	147.86090171795945	198.90400732016118	214.70706646710929	123.02849071917194	93.90519623993951	213.7094701369863
-576-08-04	126509	1510895.5	-1.6132555932916226	-0.2351096095880241	-1.811179850343897	2.296989923394455	1.9945764232686944	0.0	0.2564456659851133	319.26929677324813	184.530531403718	156.2823735395547	282.46906817223726	214.94331077325032	129.8388247522215	102.40672473835224	213.70950794520547
-576-08-11	126510	1510902.5	-1.6257698630438793	-0.33088690865975	-2.8091865275813213	4.429266012783521	1.96656350598098	0.0	0.5650722183776369	318.3436245042742	189.3490596219576	162.86972703403774	16.30476095225822	215.25348206531046	136.6766595398057	110.96016346515637	213.70954575342466
-576-08-18	126511	1510909.5	-1.6320452759387587	-0.4221025820222704	-3.574442789933101	-3.4625986845174874	1.9396248738380817	0.0	0.8398019765650678	317.41123002815544	194.24089650479053	166.50081083444198	117.49372365829448	215.63430496132253	143.54308901329648	119.56159905836573	213.70958356164383
-576-08-25	126512	1510916.5	-1.6320536567173174	-0.5086750533644101	-3.6690016914749113	-3.802484846483977	1.91396475947828	0.0	1.0728906000422875	316.50691677371094	199.20260941908955	165.2667237578263	207.33457813487232	216.08184642772773	150.43881656119743	128.20677349612922	213.70962136986302
-576-09-01	126513	1510923.5	-1.6260404707568894	-0.5904907704330367	-2.411592517036397	3.066483613780409	1.8897549677898011	0.0	1.258066851874048	315.6642698636076	204.23077338529728	158.4010534535546	291.04169130334117	216.59162602146446	157.36413234831275	136.89109293652837	213.7096591780822
-576-09-08	126514	1510930.5	-1.6144965644299345	-0.667410597043629	-0.1218397975886104	3.8480863200706175	1.8671378483454275	0.0	1.3906994206623615	314.91388218974333	209.32190775015403	151.85862768552653	25.833738320249036	217.1587116890094	164.31889562895515	145.60968954991756	213.70969698630137
-576-09-15	126515	1510937.5	-1.5981059680422798	-0.7392762781357459	1.5566656893692592	-4.108964620187336	1.8462294272983482	0.0	1.467915367596238	314.28194553146716	214.4724246333646	153.11981203938342	126.71225725168676	217.777801258116	171.3025230700814	154.35752546902108	213.70973479452056
-576-09-22	126516	1510944.5	-1.5776800329803031	-0.8059169916334782	2.100188356944188	-3.1515557025721415	1.8271224940207444	0.0	1.48866258738338	313.78934195505815	219.67858866620026	160.9924745106998	215.7261355366982	218.44329058197053	178.31398407087386	163.12952499287746	213.70977260273972
-576-09-29	126517	1510951.5	-1.554089238597102	-0.8671559666259702	1.8991754795160285	3.744882377443555	1.80988949653451	0.0	1.4537121036659906	313.45126974925665	224.9364877251292	171.57778599610492	299.6775157689736	219.14932981228736	185.3518039773661	171.92071930713072	213.7098104109589
-576-10-06	126518	1510958.5	-1.5282021913940684	-0.9228171131247552	1.3278515153562829	3.1231636239371015	1.7945851480409964	0.0	1.365599829413251	313.277348510501	230.24201445602853	182.82619696166583	35.38339171053485	219.8898695532972	192.4140759371037	180.726387641359	213.70984821917807
-576-10-13	126519	1510965.5	-1.5008378398284627	-0.972731576207188	0.5992212816277732	-4.610087546767018	1.7812486843176092	0.0	1.2285111258581265	313.27208982674	235.5908583852045	194.06944333632168	135.8808682296769	220.65869874559868	199.4984819086608	189.54218011722224	213.70988602739726
-576-10-20	126520	1510972.5	-1.4727331523767662	-1.0167440987929457	-0.1690722177895666	-2.4091920099550883	1.7699057392348625	0.0	1.0481146387408975	313.4355986153505	240.97850833495792	205.1770739145359	224.0840354490584	221.4494761048641	206.602323048092	198.36421039589905	213.70992383561645
-576-10-27	126521	1510979.5	-1.4445254870892912	-1.0547190548911127	-0.9014143954719328	4.30956998337923	1.7605698246239154	0.0	0.8313541484536727	313.76437883848286	246.40026471959192	216.1918878350853	308.38105896444733	222.25575684280028	213.72255935174462	207.1891102201381	213.7099616438356
-576-11-03	126522	1510986.5	-1.4167470522665409	-1.0865460008519383	-1.5344018460726212	2.28077208110294	1.7532434128599756	0.0	0.5862083892370753	314.2521438004408	251.85126109696137	227.19755743170398	44.94678730703703	223.0710162638023	220.8558580452625	216.01404248761008	213.7099994520548
-576-11-10	126523	1510993.5	-1.389828157970326	-1.1121445877191394	-1.996522534894512	-4.9512156046024085	1.747918627464664	0.0	0.3214290076487828	314.89056361986684	257.32649412411223	238.25068363681854	144.995735735494	223.8886716917717	227.99864981993824	224.83667401846162	213.71003726027396
-576-11-17	126524	1511000.5	-1.3641060659714577	-1.1314686842874209	-2.1867431163959856	-1.5974284584070069	1.7445775503569094	0.0	0.04626623391074722	315.66991242893096	262.8208608224	249.28569245108451	232.41519950016112	224.702104057952	235.14719163388168	233.65511315447026	213.71007506849315
-576-11-24	126525	1511007.5	-1.3398367936314897	-1.1445095781286936	-1.9446780601130318	4.740711417094525	1.7431921555028569	0.0	-0.22980928143518875	316.5796011950196	268.3292018262761	259.86956971815965	317.1547242544645	225.50468038957953	242.29763446106352	242.46782038324258	213.71011287671234
-576-12-01	126526	1511014.5	-1.3172079217656458	-1.1512981500124009	-1.0243931363892187	1.3521334136913217	1.7437238789801972	0.0	-0.4973813475228024	317.6085978340882	273.84634909634457	268.55698094232343	54.51887336234518	226.2897783901568	249.44609411381973	251.27350211014732	213.7101506849315
-576-12-08	126527	1511021.5	-1.2963511148418119	-1.1519059553321642	0.779965853527326	-5.1235831677005015	1.7461228361566474	0.0	-0.747353987188773	318.7457454104905	279.3671765815598	271.90698199106043	154.05224880505034	227.05081429742023	256.5887230927024	260.07099844080216	213.7101884931507
-576-12-15	126528	1511028.5	-1.2773535975407853	-1.1464451790819743	2.879324992362648	-0.7399177832943379	1.7503266987737716	0.0	-0.9712032503314126	319.9799933715821	284.88665103173105	266.7027152211233	240.7278446917656	227.78127525121928	263.7217813571588	268.85917546378937	213.71022630136986
-576-12-22	126529	1511035.5	-1.2602682225273831	-1.1350675125930654	3.6000279309135714	5.022038631454522	1.75625925078724	0.0	-1.1612109662042918	321.3005575810173	290.3998844086864	258.6320041179948	325.9987787338477	228.4747574564591	270.84170400246916	277.6368311964748	213.71026410958905
-576-12-29	126530	1511042.5	-1.245122026344181	-1.1179619745344738	2.8296513732554653	0.37212537356904507	1.7638286497565256	0.0	-1.310676689595664	322.697023936566	295.902180937941	256.11574992205345	64.0962128982221	229.1250115562632	277.9451639223539	286.4026222021704	213.7103019178082
-575-01-05	126531	1511049.5	-1.2319233268609946	-1.0953518290677458	1.5896544877177785	-5.124467327363131	1.7729254377512007	0.0	-1.4141042430503863	324.1594083005592	301.3890826176961	259.2736809293277	163.04560621208182	229.72599665867455	285.02912789687167	295.1550152821048	213.7103397260274
-575-01-12	126532	1511056.5	-1.2206675009382393	-1.0674907171915105	0.3798852684393927	0.13865307204999094	1.7834203662116077	0.0	-1.4673593135993497	325.6781833002528	306.85640873280886	265.78412871275674	249.0310914132188	230.27194453022088	292.09090480286307	303.89226565164427	213.7103775342466
-575-01-19	126533	1511063.5	-1.2113416153248515	-1.0346581778677535	-0.6485276028703267	5.141597251047323	1.795162129960706	0.0	-1.4677946730161748	327.2442803569112	312.3002894380893	274.22462304787535	334.9115544724166	230.75743538237583	299.1281850616192	312.61242005864034	213.71041534246575
-575-01-26	126534	1511070.5	-1.2039280886356256	-0.9971547396337068	-1.4393742069957691	-0.6221778099316977	1.8079751436037559	0.0	-1.4143398773375353	328.8490734114573	317.71719256272235	283.9476619413038	73.67641176364152	231.1774864598167	306.139070827223	321.3133405734416	213.71045315068494
-575-02-02	126535	1511077.5	-1.1984075498482516	-0.9552967680486928	-1.9517368974929281	-4.957000836723156	1.8216575394688537	0.0	-1.3075528393871718	330.48434923242945	323.1039432415027	294.704808909272	171.97150587150304	231.52765419229047	313.12209679626886	329.99274255265584	213.7104909589041
-575-02-09	126536	1511084.5	-1.1947610378823683	-0.909411247403812	-2.138558126079384	1.013138487376804	1.8359796174958791	0.0	-1.149631475399084	332.1422679313063	328.4577362762375	306.44781686858613	257.3344900701723	231.80414993434985	320.0762418720712	338.64823876571097	213.7105287671233
-575-02-16	126537	1511091.5	-1.1929716627424758	-0.8598306594859622	-1.9426253404109768	5.092406263433016	1.8506830294203505	0.0	-0.9443846682143768	333.8153163327707	333.77614139247873	319.22078115813974	343.8898616873533	232.0039682257966	327.0009322035827	347.27738097743463	213.71056657534245
-575-02-23	126538	1511098.5	-1.1930258242963334	-0.8068880997990808	-1.3087816843928175	-1.5930632292980729	1.8654810246492184	0.0	-0.6971629901122056	335.4962561120538	339.0571017815115	333.0304239772797	83.25735065560816	232.1250250243536	333.8960363448091	355.8776904420075	213.71060438356164
-575-03-02	126539	1511105.5	-1.1949140613926967	-0.7509127448386516	-0.2404985850730388	-4.629766899377432	1.8800601125311385	0.0	-0.4147508947012986	337.1780680730943	344.2989264943542	347.53609373401594	180.82680935051891	232.16630149870807	340.7618534398949	4.44666967957761	213.71064219178083
-575-03-09	126540	1511112.5	-1.1986315821204416	-0.6922257551339134	1.0766654411633818	1.858503852533344	1.8940834914514584	0.0	-0.1052233276664869	338.85389356197857	349.50027737437057	1.5731686263463305	265.6475105365523	232.12798680494168	347.59909541921274	12.981789382429895	213.71068
-575-03-16	126541	1511119.5	-1.2041785053805647	-0.6311366698342321	2.2475165935341592	4.872980173090432	1.9071965441639471	0.0	0.22222915458449136	340.51697376434737	354.6601512913533	13.383857410912473	352.9295683226622	232.01161098005616	354.4088642222854	21.480446074974395	213.7107178082192
-575-03-23	126542	1511126.5	-1.2115598241005547	-0.5679403214786272	2.884578944960817	-2.503768047003297	1.919034587194981	0.0	0.5575016824453255	342.1605875029133	359.7778584623713	21.713288133732423	92.83636036931179	231.82015696344126	1.192625030326781	29.939887910524483	213.71075561643835
-575-03-30	126543	1511133.5	-1.220785080666287	-0.5029142754299126	2.7292644530594123	-4.156216350292653	1.9292328822263631	0.0	0.8897969050932016	343.7779881250575	4.852997630652112	25.990755286214718	189.61009078554423	231.55813920095363	7.952176420512388	38.357107423410575	213.71079342465754
