UTC_Date,EclType,PenMag,UmbralMag,PenEclipseBegins,Alt1,PartialEclipseBegins,Alt2,TotalEclipseBegins,Alt3,MidEclipse,Alt4,TotalEclipseEnds,Alt5,PartialEclipseEnds,Alt6,PenEclipseEnds,Alt7
b1970-06-06,N,0.893,-0.069,00:22,+42,-,-,-,-,02:21,+32,-,-,-,-,04:19,+13
b1970-11-01,N,0.484,-0.623,00:13,+71,-,-,-,-,01:58,+59,-,-,-,-,03:43,+38
b1969-10-20,P,1.742,0.663,23:13,+62,00:32,+65,-,-,02:01,+55,-,-,03:30,+38,04:49,+22
b1968-04-16,T,2.815,1.828,00:43,+57,01:41,+52,02:40,+43,03:31,+34,04:22,+24,05:21,+12,06:19,-01
b1968-10-09,T,2.702,1.681,05:46,+05,06:47,-08,07:47,-21,08:36,-31,09:25,-40,10:25,-51,11:26,-58
b1967-09-28,P,1.442,0.468,19:32,+13,20:42,+27,-,-,21:52,+40,-,-,23:02,+50,00:12,+56
b1966-02-23,N,0.508,-0.571,20:12,+27,-,-,-,-,21:58,+49,-,-,-,-,23:44,+70
b1966-08-20,N,0.621,-0.357,02:18,+35,-,-,-,-,03:59,+20,-,-,-,-,05:42,+01
b1965-02-12,P,1.893,0.852,22:11,+55,23:22,+70,-,-,00:58,+79,-,-,02:34,+62,03:45,+47
b1964-07-28,T,2.503,1.431,17:01,-27,18:11,-13,19:19,+00,20:05,+09,20:52,+17,22:00,+27,23:09,+34
b1963-01-22,P,1.198,0.236,00:01,+82,01:20,+78,-,-,02:11,+68,-,-,03:02,+57,04:21,+40
b1963-07-17,P,1.150,0.075,17:47,-18,19:43,+05,-,-,20:17,+10,-,-,20:50,+16,22:46,+31
b1963-12-13,N,0.799,-0.211,04:38,+30,-,-,-,-,06:34,+06,-,-,-,-,08:31,-16
b1961-05-27,T,2.370,1.420,23:44,+44,00:39,+43,01:40,+38,02:23,+33,03:06,+27,04:07,+16,05:02,+06
b1961-11-21,T,2.516,1.410,12:43,-45,13:56,-39,15:05,-29,15:50,-22,16:36,-13,17:45,+00,18:58,+16
b1960-05-16,P,1.929,0.988,17:05,-21,18:02,-09,-,-,19:35,+09,-,-,21:09,+26,22:06,+35
b1959-04-07,N,0.397,-0.607,00:48,+62,-,-,-,-,02:15,+52,-,-,-,-,03:43,+36
b1959-09-30,N,0.495,-0.508,05:03,+13,-,-,-,-,06:37,-06,-,-,-,-,08:11,-26
b1959-10-29,N,0.110,-0.927,19:03,+15,-,-,-,-,19:51,+25,-,-,-,-,20:38,+36
b1958-03-27,P,1.740,0.682,05:53,+10,07:11,-07,-,-,08:42,-26,-,-,10:13,-43,11:30,-54
b1958-09-19,P,1.784,0.818,18:42,+00,19:43,+12,-,-,21:10,+30,-,-,22:38,+44,23:39,+51
b1957-03-16,T,2.670,1.594,06:21,+06,07:31,-09,08:37,-22,09:28,-32,10:19,-41,11:25,-50,12:35,-54
b1956-08-28,P,1.315,0.295,23:21,+43,00:45,+45,-,-,01:45,+42,-,-,02:46,+34,04:10,+20
b1955-02-21,N,0.042,-0.952,19:45,+21,-,-,-,-,20:14,+27,-,-,-,-,20:42,+33
b1954-01-12,T,2.052,1.089,23:13,+73,00:11,+84,01:25,+77,01:46,+73,02:08,+68,03:22,+52,04:20,+40
